Date,Average Score,7 MA
2024-10-15,0.433,
2024-10-16,0.5,
2024-10-18,1.0,
2024-10-22,1.0,
2024-10-24,1.0,
2024-10-28,0.5,
2024-11-12,0.5,0.705
2024-11-18,0.3,0.686
2024-11-29,0.0,0.614
2024-12-02,0.0,0.471
2024-12-03,0.433,0.39
2024-12-04,0.0,0.248
2024-12-05,0.5,0.248
2024-12-13,0.0,0.176
2024-12-16,0.0,0.133
2024-12-17,0.0,0.133
2024-12-18,0.0,0.133
2024-12-19,0.5,0.143
2024-12-23,0.025,0.146
2024-12-26,0.0,0.075
2025-01-28,0.0,0.075
2025-01-29,0.0,0.075
2025-02-04,0.285,0.116
2025-02-25,0.0,0.116
2025-02-27,0.0,0.044
2025-02-28,0.0,0.041
2025-03-01,0.0,0.041
2025-03-02,0.0,0.041
2025-03-03,0.096,0.054
2025-03-04,0.204,0.043
2025-03-05,0.046,0.049
2025-03-06,0.015,0.052
2025-03-07,-0.004,0.051
2025-03-08,-0.1,0.037
2025-03-10,-0.029,0.033
2025-03-11,0.0,0.019
2025-03-12,0.217,0.021
2025-03-13,0.0,0.014
2025-03-14,0.15,0.033
2025-03-15,0.0,0.034
2025-03-16,0.0,0.048
2025-03-17,0.0,0.052
2025-03-18,0.0,0.052
2025-03-19,0.167,0.045
2025-03-20,0.0,0.045
2025-03-21,0.0,0.024
2025-03-22,0.0,0.024
2025-03-24,0.04,0.03
2025-03-25,0.0,0.03
2025-03-26,0.133,0.049
