Date,Average Score,7 MA
01/01/2025,0.104,
01/02/2022,0.08,
01/02/2023,0.086,
01/02/2024,0.03,
01/03/2023,0.028,
01/03/2024,0.049,
01/03/2025,0.0,0.054
01/04/2022,-0.01,0.038
01/04/2024,-0.023,0.023
01/04/2025,0.086,0.023
01/05/2019,-0.016,0.016
01/05/2021,0.154,0.034
01/05/2023,0.09,0.04
01/05/2024,0.099,0.054
01/05/2025,0.0,0.056
01/06/2022,0.041,0.065
01/06/2023,-0.031,0.048
01/06/2024,0.053,0.058
01/07/2022,0.021,0.039
01/07/2024,0.12,0.043
01/08/2022,0.224,0.061
01/08/2023,0.085,0.073
01/08/2024,0.109,0.083
01/09/2021,0.064,0.097
01/09/2022,0.019,0.092
01/09/2023,0.031,0.093
01/10/2023,0.09,0.089
01/10/2024,0.128,0.075
01/11/2021,0.08,0.074
01/11/2022,-0.017,0.056
01/11/2023,0.085,0.059
01/12/2021,0.026,0.06
01/12/2022,0.093,0.069
01/12/2023,0.093,0.07
02/01/2025,0.066,0.061
02/02/2021,-0.153,0.028
02/02/2022,0.083,0.042
02/02/2023,-0.011,0.028
02/02/2024,0.029,0.029
02/03/2022,0.02,0.018
02/03/2023,0.085,0.017
02/03/2025,0.0,0.008
02/04/2021,0.079,0.041
02/04/2022,-0.001,0.029
02/04/2025,-0.05,0.023
02/05/2022,0.057,0.027
02/05/2025,0.0,0.024
02/06/2021,0.071,0.022
02/06/2022,0.07,0.032
02/06/2023,0.116,0.038
02/07/2021,0.11,0.053
02/07/2022,0.094,0.074
02/07/2024,0.066,0.075
02/08/2021,0.108,0.091
02/08/2023,0.071,0.091
02/08/2024,0.012,0.082
02/09/2021,0.079,0.077
02/09/2022,-0.038,0.056
02/09/2023,0.396,0.099
02/09/2024,0.121,0.107
02/10/2022,-0.102,0.077
02/10/2023,0.089,0.08
02/10/2024,0.131,0.097
02/11/2021,0.128,0.104
02/11/2022,0.097,0.123
02/11/2023,0.082,0.078
02/12/2021,0.071,0.071
02/12/2022,0.087,0.098
02/12/2023,0.109,0.101
02/12/2024,0.0,0.082
03/01/2022,0.092,0.077
03/03/2021,0.135,0.082
03/03/2022,0.029,0.075
03/03/2023,0.069,0.074
03/03/2024,0.0,0.062
03/03/2025,0.086,0.059
03/04/2021,0.04,0.064
03/04/2022,0.0,0.051
03/04/2025,-0.096,0.018
03/05/2021,0.118,0.031
03/05/2022,0.07,0.031
03/05/2023,0.117,0.048
03/05/2024,0.079,0.047
03/05/2025,0.0,0.041
03/06/2022,0.042,0.047
03/06/2024,0.034,0.066
03/07/2022,0.027,0.053
03/08/2021,0.1,0.057
03/08/2022,0.047,0.047
03/09/2021,-0.072,0.025
03/11/2021,0.109,0.041
03/11/2022,0.099,0.049
03/11/2023,0.126,0.062
03/12/2021,0.127,0.077
03/12/2022,0.102,0.077
03/12/2024,0.418,0.13
04/01/2021,0.109,0.156
04/01/2022,0.006,0.141
04/01/2023,-0.031,0.122
04/02/2022,0.115,0.121
04/02/2025,0.285,0.143
04/03/2021,0.074,0.139
04/03/2022,0.053,0.087
04/03/2025,0.21,0.102
04/04/2022,0.059,0.109
04/04/2023,0.11,0.129
04/04/2025,0.0,0.113
04/05/2021,0.097,0.086
04/05/2023,-0.064,0.066
04/05/2025,0.0,0.059
04/06/2021,0.216,0.06
04/06/2022,0.028,0.055
04/07/2021,0.023,0.043
04/07/2022,0.064,0.052
04/07/2024,0.116,0.055
04/08/2022,0.089,0.077
04/09/2024,0.15,0.098
04/10/2021,0.051,0.074
04/10/2023,0.115,0.087
04/10/2024,0.175,0.109
04/11/2021,0.103,0.114
04/11/2022,0.047,0.104
04/12/2021,0.094,0.105
04/12/2022,0.045,0.09
04/12/2023,0.108,0.098
04/12/2024,0.0,0.082
05/01/2022,0.023,0.06
05/01/2024,0.125,0.063
05/02/2022,0.072,0.067
05/02/2024,0.093,0.067
05/03/2021,-0.002,0.06
05/03/2022,0.05,0.052
05/03/2023,0.092,0.065
05/03/2025,0.03,0.066
05/04/2021,0.022,0.051
05/04/2022,0.187,0.067
05/04/2024,0.127,0.072
05/04/2025,0.0,0.073
05/05/2022,0.076,0.076
05/05/2023,0.133,0.082
05/05/2025,0.345,0.127
05/06/2021,-0.018,0.121
05/06/2022,0.021,0.098
05/06/2024,0.057,0.088
05/07/2022,-0.023,0.084
05/07/2023,-0.032,0.069
05/08/2024,0.254,0.086
05/09/2019,0.051,0.044
05/09/2021,0.005,0.048
05/09/2023,0.135,0.064
05/09/2024,-0.042,0.05
05/10/2023,0.054,0.061
05/11/2023,0.042,0.071
05/12/2022,0.059,0.043
05/12/2023,0.255,0.073
05/12/2024,0.5,0.143
06/01/2022,0.077,0.135
06/01/2023,0.143,0.161
06/01/2025,0.122,0.171
06/02/2022,0.09,0.178
06/02/2023,0.058,0.178
06/02/2024,0.087,0.154
06/03/2018,0.045,0.089
06/03/2021,0.012,0.08
06/03/2023,0.254,0.095
06/03/2025,0.014,0.08
06/04/2018,0.047,0.074
06/04/2021,0.108,0.081
06/04/2022,0.014,0.071
06/04/2024,0.145,0.085
06/04/2025,0.0,0.083
06/05/2022,0.198,0.075
06/05/2024,0.068,0.083
06/06/2022,0.057,0.084
06/07/2022,0.019,0.072
06/08/2024,0.088,0.082
06/09/2021,0.093,0.075
06/09/2022,-0.017,0.072
06/09/2023,0.174,0.069
06/09/2024,0.0,0.059
06/10/2022,-0.233,0.018
06/10/2023,0.101,0.029
06/12/2022,0.119,0.034
06/12/2023,0.137,0.04
07/01/2022,0.038,0.048
07/01/2025,0.16,0.046
07/02/2022,0.074,0.057
07/03/2022,0.138,0.11
07/03/2023,0.106,0.11
07/03/2024,0.0,0.093
07/03/2025,-0.004,0.073
07/04/2017,0.124,0.085
07/04/2021,0.117,0.079
07/04/2022,-0.003,0.068
07/04/2025,0.094,0.062
07/05/2021,0.09,0.06
07/05/2025,0.0,0.06
07/06/2017,0.003,0.061
07/06/2021,0.037,0.048
07/06/2022,0.098,0.046
07/06/2023,0.105,0.061
07/07/2021,0.072,0.058
07/07/2022,-0.005,0.044
07/07/2023,0.138,0.064
07/08/2023,0.078,0.075
07/10/2021,0.05,0.077
07/10/2022,0.144,0.083
07/10/2024,0.164,0.092
07/11/2022,0.026,0.085
07/12/2021,0.069,0.096
07/12/2022,0.18,0.102
07/12/2023,0.298,0.133
08/01/2021,0.348,0.176
08/01/2022,0.27,0.194
08/01/2024,0.126,0.188
08/01/2025,0.102,0.199
08/02/2022,0.06,0.198
08/02/2023,-0.095,0.158
08/02/2024,0.061,0.125
08/03/2021,0.074,0.085
08/03/2022,0.08,0.058
08/03/2023,0.146,0.061
08/03/2024,0.521,0.121
08/03/2025,-0.06,0.104
08/04/2021,0.074,0.128
08/04/2022,-0.045,0.113
08/04/2023,0.256,0.139
08/04/2024,0.104,0.142
08/04/2025,0.165,0.145
08/05/2021,0.216,0.101
08/05/2023,0.144,0.131
08/05/2024,0.0,0.12
08/06/2022,0.054,0.134
08/07/2022,-0.036,0.092
08/07/2023,0.129,0.096
08/07/2024,0.256,0.109
08/08/2024,0.118,0.095
08/09/2021,0.047,0.081
08/09/2022,0.11,0.097
08/09/2023,0.133,0.108
08/10/2024,0.133,0.132
08/11/2022,0.075,0.125
08/11/2023,0.089,0.101
08/12/2021,0.082,0.096
08/12/2022,-0.052,0.081
08/12/2023,0.07,0.076
09/01/2021,0.144,0.077
09/01/2023,0.135,0.078
09/01/2024,0.12,0.084
09/02/2022,0.054,0.079
09/02/2023,0.123,0.085
09/03/2021,0.119,0.109
09/03/2022,0.172,0.124
09/03/2023,0.232,0.136
09/03/2025,0.125,0.135
09/04/2019,0.039,0.123
09/04/2021,0.07,0.126
09/04/2025,0.048,0.115
09/05/2017,0.118,0.115
09/05/2022,-0.009,0.089
09/05/2024,0.08,0.067
09/06/2022,0.032,0.054
09/06/2023,0.08,0.06
09/07/2021,0.111,0.066
09/07/2022,0.021,0.062
09/07/2023,0.286,0.086
09/07/2024,0.133,0.106
09/08/2021,0.09,0.108
09/08/2023,0.099,0.117
09/09/2021,0.0,0.106
09/09/2022,0.06,0.098
09/09/2023,0.066,0.105
09/09/2024,0.08,0.075
09/10/2022,-0.114,0.04
09/10/2023,0.227,0.06
09/10/2024,0.103,0.06
09/11/2022,0.114,0.077
09/12/2021,0.097,0.082
09/12/2022,0.178,0.098
09/12/2024,0.224,0.118
10/01/2025,0.082,0.146
10/02/2021,0.104,0.129
10/02/2023,0.114,0.13
10/02/2024,0.083,0.126
10/03/2022,0.098,0.126
10/03/2023,0.104,0.116
10/03/2025,-0.015,0.081
10/04/2021,0.062,0.079
10/04/2024,0.09,0.077
10/04/2025,0.03,0.065
10/05/2021,0.078,0.064
10/05/2022,0.097,0.064
10/05/2023,0.0,0.049
10/05/2024,0.306,0.095
