Date,Average Score,7 MA
2024-10-23,0.095,
2024-10-30,0.0,
2024-10-31,0.083,
2024-11-01,0.0,
2024-11-04,0.073,
2024-11-05,-0.05,
2024-11-10,0.0,0.029
2024-11-14,-0.35,-0.035
2024-11-25,0.2,-0.006
2024-11-27,0.0,-0.018
2024-12-05,0.5,0.053
2024-12-06,0.0,0.043
2024-12-09,0.0,0.05
2024-12-14,0.0,0.05
2024-12-21,-0.4,0.043
2024-12-25,0.0,0.014
2024-12-26,0.042,0.02
2025-01-09,0.0,-0.051
2025-01-13,0.0,-0.051
2025-01-22,0.0,-0.051
2025-01-31,0.0,-0.051
2025-02-03,0.0,0.006
2025-02-04,0.0,0.006
2025-02-06,0.05,0.007
2025-02-07,0.0,0.007
2025-02-10,0.275,0.046
2025-02-18,0.0,0.046
2025-02-23,0.068,0.056
2025-02-25,0.0,0.056
2025-02-26,-0.1,0.042
2025-02-27,0.0,0.035
2025-02-28,0.0,0.035
2025-03-01,0.056,0.003
2025-03-02,0.2,0.032
2025-03-03,0.014,0.024
2025-03-04,0.0,0.024
2025-03-06,0.05,0.046
2025-03-07,0.094,0.059
2025-03-08,-0.2,0.031
2025-03-09,0.0,0.023
2025-03-10,-0.025,-0.01
2025-03-11,0.0,-0.012
2025-03-12,0.0,-0.012
2025-03-13,0.062,-0.01
2025-03-14,0.19,0.004
2025-03-15,0.0,0.032
2025-03-16,0.0,0.032
2025-03-17,0.0,0.036
2025-03-18,0.0,0.036
2025-03-19,0.0,0.036
2025-03-20,0.053,0.035
2025-03-21,0.0,0.008
2025-03-22,0.075,0.018
2025-03-24,0.35,0.068
2025-03-25,-0.111,0.052
2025-03-26,0.471,0.12
