Date,Average Score,7 MA
01/01/2022,0.068,
01/01/2024,0.052,
01/02/2022,0.031,
01/02/2023,0.043,
01/02/2024,0.064,
01/03/2022,0.202,
01/03/2023,0.139,0.086
01/03/2025,0.056,0.084
01/04/2021,0.12,0.094
01/04/2022,0.097,0.103
01/04/2025,0.312,0.141
01/05/2021,-0.027,0.128
01/05/2024,0.084,0.112
01/05/2025,0.25,0.127
01/06/2021,-0.0,0.119
01/06/2022,-0.209,0.072
01/07/2021,0.07,0.069
01/07/2022,0.057,0.032
01/07/2023,0.014,0.038
01/08/2022,0.019,0.029
01/08/2023,-0.014,-0.009
01/09/2021,0.087,0.003
01/09/2022,0.126,0.051
01/10/2021,0.058,0.05
01/10/2023,-0.118,0.025
01/10/2024,0.019,0.025
01/11/2021,0.072,0.033
01/11/2022,0.094,0.048
01/11/2023,0.0,0.036
01/11/2024,0.0,0.018
01/12/2021,0.03,0.014
01/12/2023,-0.054,0.023
02/01/2022,0.03,0.025
02/02/2022,0.025,0.018
02/02/2023,0.049,0.011
02/02/2024,0.03,0.016
02/03/2021,-0.081,0.004
02/03/2022,0.044,0.006
02/03/2023,0.113,0.03
02/03/2025,0.2,0.054
02/04/2021,0.12,0.068
02/04/2022,0.02,0.064
02/04/2024,0.094,0.073
02/04/2025,0.234,0.118
02/05/2022,0.078,0.123
02/05/2023,0.085,0.119
02/05/2024,0.048,0.097
02/05/2025,0.192,0.107
02/06/2021,-0.02,0.102
02/06/2022,0.07,0.098
02/07/2021,0.289,0.106
02/07/2024,0.067,0.104
02/08/2022,0.022,0.095
02/08/2023,-0.01,0.087
02/09/2021,0.036,0.065
02/09/2022,-0.007,0.067
02/09/2023,0.004,0.057
02/10/2022,0.006,0.017
02/10/2023,0.061,0.016
02/10/2024,0.162,0.036
02/11/2021,0.092,0.051
02/11/2022,0.087,0.058
02/11/2023,0.058,0.067
02/12/2020,0.151,0.088
02/12/2021,0.043,0.093
02/12/2022,0.148,0.106
02/12/2023,0.121,0.1
03/01/2022,0.008,0.088
03/01/2023,-0.118,0.059
03/02/2021,0.148,0.072
03/02/2022,0.07,0.06
03/02/2023,0.072,0.064
03/02/2024,-0.009,0.042
03/02/2025,0.0,0.024
03/03/2021,0.081,0.035
03/03/2022,0.052,0.059
03/03/2025,0.014,0.04
03/04/2023,0.088,0.043
03/04/2025,0.0,0.032
03/05/2022,0.143,0.054
03/05/2023,0.035,0.059
03/05/2024,0.114,0.064
03/05/2025,0.0,0.056
03/06/2021,0.006,0.055
03/06/2022,-0.01,0.041
03/07/2023,-0.028,0.037
03/08/2021,0.104,0.032
03/08/2022,0.106,0.042
03/09/2021,0.096,0.039
03/09/2022,0.149,0.06
03/09/2023,-0.002,0.059
03/10/2022,0.058,0.069
03/11/2021,-0.043,0.067
03/11/2022,0.04,0.058
03/11/2023,-0.022,0.039
03/12/2019,0.156,0.048
03/12/2021,0.012,0.028
04/01/2022,0.061,0.037
04/01/2023,0.033,0.034
04/01/2024,0.101,0.054
04/02/2021,0.153,0.071
04/02/2022,0.077,0.085
04/02/2023,0.121,0.08
04/02/2025,0.0,0.078
04/03/2021,0.044,0.076
04/03/2022,-0.02,0.068
04/03/2023,-0.034,0.049
04/03/2024,-0.149,0.006
04/03/2025,0.0,-0.005
04/04/2022,0.051,-0.015
04/04/2023,0.04,-0.01
04/05/2022,0.087,-0.004
04/05/2023,0.044,0.006
04/05/2024,0.083,0.022
04/05/2025,0.0,0.044
04/06/2021,-0.017,0.041
04/06/2022,0.025,0.037
04/06/2023,0.003,0.032
04/07/2022,0.295,0.062
04/08/2020,0.143,0.076
04/08/2021,-0.004,0.064
04/08/2022,0.16,0.086
04/08/2023,0.006,0.09
04/09/2021,0.221,0.118
04/09/2023,0.081,0.129
04/10/2021,0.077,0.098
04/10/2022,0.076,0.088
04/10/2023,0.129,0.107
04/10/2024,0.068,0.094
04/11/2021,0.058,0.101
04/11/2022,0.063,0.079
04/11/2023,0.118,0.084
04/11/2024,0.073,0.084
04/12/2021,0.103,0.087
04/12/2023,-0.01,0.068
05/01/2022,-0.016,0.056
05/01/2023,-0.073,0.037
05/01/2024,0.072,0.038
05/02/2020,0.159,0.044
05/02/2021,0.012,0.035
05/02/2022,0.039,0.026
05/02/2023,0.051,0.035
05/02/2024,0.003,0.038
05/03/2021,0.05,0.055
05/03/2024,0.012,0.047
05/04/2020,0.012,0.026
05/04/2021,0.203,0.053
05/04/2022,0.024,0.051
05/04/2025,0.0,0.043
05/05/2022,0.049,0.05
05/05/2023,0.058,0.051
05/05/2025,0.089,0.062
05/06/2021,0.01,0.062
05/06/2023,-0.034,0.028
05/06/2024,0.042,0.031
05/07/2021,0.082,0.042
05/07/2022,0.047,0.042
05/07/2023,0.178,0.059
05/08/2021,0.116,0.063
05/08/2024,0.043,0.068
05/09/2023,0.185,0.099
05/10/2021,0.105,0.108
05/10/2022,0.099,0.11
05/11/2019,0.157,0.126
05/11/2020,0.148,0.122
05/11/2021,0.032,0.11
05/11/2022,0.088,0.116
05/11/2024,-0.05,0.083
05/12/2021,-0.002,0.067
05/12/2023,0.034,0.058
05/12/2024,0.5,0.107
06/01/2022,-0.071,0.076
06/01/2023,-0.013,0.069
06/01/2024,0.121,0.074
06/02/2020,0.165,0.105
06/02/2022,0.03,0.109
06/02/2023,0.107,0.12
06/02/2025,0.05,0.056
06/03/2024,0.088,0.078
06/03/2025,0.05,0.087
06/04/2021,0.111,0.086
06/04/2022,-0.008,0.061
06/04/2025,0.18,0.083
06/05/2020,0.151,0.089
06/05/2022,0.007,0.083
06/05/2023,0.014,0.072
06/05/2025,0.0,0.065
06/06/2021,0.065,0.058
06/06/2022,0.064,0.069
06/06/2023,0.054,0.051
