Date,Average Score,7 MA
01/01/2023,0.161,
01/01/2025,0.099,
01/02/2022,0.046,
01/02/2023,0.054,
01/02/2024,0.12,
01/03/2021,0.088,
01/03/2022,0.027,0.085
01/03/2025,0.071,0.072
01/04/2021,0.05,0.065
01/04/2022,0.098,0.073
01/04/2023,-0.061,0.056
01/04/2024,0.224,0.071
01/04/2025,0.007,0.059
01/05/2022,0.115,0.072
01/05/2023,-0.044,0.056
01/05/2024,-0.403,-0.009
01/05/2025,0.181,0.003
01/06/2022,-0.088,-0.001
01/06/2023,0.125,-0.015
01/06/2024,0.16,0.007
01/07/2022,0.043,-0.004
01/08/2022,0.012,0.004
01/08/2023,0.026,0.066
01/08/2024,0.054,0.047
01/09/2021,0.095,0.074
01/09/2022,0.096,0.069
01/10/2021,0.06,0.055
01/10/2023,0.228,0.082
01/11/2021,0.069,0.09
01/11/2022,0.04,0.092
01/11/2023,0.077,0.095
01/12/2020,0.129,0.1
01/12/2021,0.074,0.097
02/02/2022,0.103,0.103
02/02/2023,0.288,0.111
02/03/2021,0.102,0.116
02/03/2022,0.063,0.119
02/03/2023,0.175,0.133
02/03/2025,0.0,0.115
02/04/2021,0.056,0.112
02/04/2023,0.017,0.1
02/04/2024,0.23,0.092
02/04/2025,0.09,0.09
02/05/2021,0.114,0.097
02/05/2022,0.056,0.08
02/05/2023,0.05,0.088
02/05/2024,0.116,0.096
02/05/2025,0.11,0.109
02/06/2022,0.073,0.087
02/06/2024,0.151,0.096
02/07/2021,0.107,0.095
02/07/2022,-0.043,0.081
02/07/2023,0.213,0.104
02/07/2024,0.084,0.099
02/08/2021,0.084,0.096
02/08/2022,0.036,0.09
02/08/2023,0.06,0.077
02/08/2024,-0.115,0.046
02/09/2021,0.085,0.064
02/09/2022,0.213,0.064
02/09/2024,0.028,0.056
02/10/2022,0.0,0.044
02/10/2023,0.145,0.059
02/11/2021,0.048,0.058
02/11/2022,0.052,0.082
02/11/2023,0.069,0.079
02/11/2024,0.092,0.062
02/12/2022,0.08,0.069
03/01/2019,0.049,0.076
03/01/2022,0.1,0.07
03/01/2023,0.053,0.071
03/01/2024,0.067,0.073
03/02/2022,0.126,0.081
03/02/2023,0.0,0.068
03/03/2021,0.079,0.068
03/03/2022,0.031,0.065
03/03/2023,0.151,0.072
03/03/2024,0.082,0.077
03/03/2025,0.295,0.109
03/04/2023,0.105,0.106
03/04/2025,0.077,0.117
03/05/2022,0.031,0.11
03/05/2023,0.394,0.162
03/05/2025,-0.156,0.118
03/06/2020,0.141,0.127
03/06/2021,0.092,0.098
03/06/2022,0.222,0.114
03/06/2023,0.136,0.123
03/07/2023,0.168,0.142
03/08/2021,0.194,0.114
03/08/2022,0.022,0.139
03/08/2023,0.095,0.133
03/09/2022,0.085,0.132
03/09/2023,0.174,0.125
03/09/2024,0.05,0.113
03/10/2022,-0.019,0.086
03/10/2023,0.1,0.072
03/10/2024,0.131,0.088
03/11/2021,0.014,0.076
03/11/2022,0.0,0.064
03/11/2023,0.06,0.048
03/11/2024,0.255,0.077
03/12/2021,0.043,0.086
03/12/2023,0.16,0.095
04/01/2022,0.064,0.085
04/01/2023,0.087,0.096
04/01/2024,0.137,0.115
04/01/2025,0.0,0.107
04/02/2022,0.054,0.078
04/02/2024,0.149,0.093
04/03/2021,0.122,0.088
04/03/2022,0.033,0.083
04/03/2024,0.046,0.077
04/03/2025,0.029,0.062
04/04/2022,0.069,0.072
04/04/2023,0.089,0.077
04/04/2025,0.082,0.067
04/05/2021,0.048,0.057
04/05/2022,0.039,0.057
04/05/2023,-0.035,0.046
04/05/2025,0.05,0.049
04/06/2021,0.068,0.049
04/06/2022,0.015,0.038
04/06/2023,0.173,0.051
04/07/2022,0.103,0.059
04/07/2023,0.156,0.076
04/07/2024,0.146,0.102
04/08/2021,0.04,0.1
04/08/2022,-0.008,0.089
04/08/2023,0.087,0.1
04/09/2024,0.127,0.093
04/10/2021,0.089,0.091
04/10/2022,0.022,0.072
04/10/2023,0.089,0.064
04/11/2021,0.032,0.063
04/11/2022,0.021,0.067
04/11/2023,0.058,0.063
04/11/2024,0.098,0.058
04/12/2021,0.043,0.052
04/12/2023,0.165,0.072
04/12/2024,0.028,0.064
05/01/2022,0.074,0.07
05/01/2023,0.088,0.079
05/02/2022,0.088,0.083
05/02/2023,0.196,0.097
05/03/2021,0.027,0.095
05/03/2022,-0.028,0.068
05/03/2023,0.25,0.099
05/03/2024,0.232,0.122
05/03/2025,0.044,0.116
05/04/2021,0.09,0.116
05/04/2022,0.04,0.094
05/04/2023,0.12,0.107
05/04/2024,0.177,0.136
05/04/2025,0.0,0.1
05/05/2021,0.207,0.097
05/05/2022,0.125,0.108
05/05/2023,0.068,0.105
05/05/2024,0.306,0.143
05/05/2025,0.053,0.134
05/06/2024,0.038,0.114
05/07/2023,0.162,0.137
05/08/2021,0.044,0.114
05/08/2022,0.143,0.116
05/08/2024,0.077,0.118
05/09/2022,0.091,0.087
05/09/2023,0.059,0.088
05/09/2024,0.078,0.093
05/10/2021,0.082,0.082
05/10/2022,0.051,0.083
05/10/2023,0.079,0.074
05/10/2024,0.105,0.078
05/11/2021,-0.065,0.056
05/11/2023,0.298,0.09
05/11/2024,0.098,0.093
05/12/2022,0.072,0.091
05/12/2023,0.023,0.087
06/01/2022,0.069,0.086
06/01/2023,-0.108,0.055
06/01/2025,0.113,0.081
06/02/2022,0.116,0.055
06/02/2023,0.277,0.08
06/03/2021,0.085,0.082
06/03/2024,0.133,0.098
06/03/2025,0.068,0.098
06/04/2021,0.104,0.128
06/04/2022,0.022,0.115
06/04/2024,0.156,0.121
06/04/2025,0.0,0.081
06/05/2021,0.086,0.081
06/05/2022,-0.032,0.058
06/05/2024,0.242,0.083
