Date,Average Score,7 MA
2025-01-24,0.0,
2025-01-25,0.35,
2025-01-26,-0.157,
2025-01-27,-0.027,
2025-01-28,0.067,
2025-01-29,0.0,
2025-01-30,0.149,0.055
2025-01-31,0.0,0.055
2025-02-01,-0.052,-0.003
2025-02-02,0.0,0.02
2025-02-03,-0.114,0.007
2025-02-05,0.15,0.019
2025-02-06,0.0,0.019
2025-02-07,0.025,0.001
2025-02-10,0.044,0.008
2025-02-11,-0.097,0.001
2025-02-12,0.029,0.005
2025-02-13,0.075,0.032
2025-02-14,0.019,0.014
2025-02-15,0.0,0.014
2025-02-16,-0.425,-0.051
2025-02-17,0.0,-0.057
2025-02-18,-0.15,-0.065
2025-02-19,0.25,-0.033
2025-02-21,0.165,-0.02
2025-02-22,0.0,-0.023
