Date,Average Score,7 MA
01/01/2022,0.519,
01/01/2023,-0.001,
01/01/2024,0.665,
01/02/2021,0.74,
01/02/2022,0.285,
01/02/2023,0.23,
01/02/2024,0.484,0.417
01/02/2025,0.187,0.37
01/03/2021,0.573,0.452
01/03/2022,0.27,0.396
01/03/2023,0.366,0.342
01/03/2024,0.479,0.37
01/03/2025,0.0,0.337
01/04/2021,0.528,0.343
01/04/2022,0.396,0.373
01/04/2023,0.354,0.342
01/04/2024,0.308,0.347
01/04/2025,-0.078,0.284
01/05/2021,0.688,0.314
01/05/2022,0.206,0.343
01/05/2023,0.187,0.294
01/05/2024,0.599,0.323
01/05/2025,0.032,0.277
01/06/2021,0.301,0.276
01/06/2022,0.394,0.344
01/06/2023,0.457,0.311
01/06/2024,-0.087,0.269
01/07/2021,0.32,0.288
01/07/2022,0.058,0.211
01/07/2023,0.258,0.243
01/07/2024,0.37,0.253
01/08/2018,0.318,0.242
01/08/2021,0.52,0.251
01/08/2022,0.369,0.316
01/08/2023,0.42,0.33
01/08/2024,0.511,0.395
01/09/2021,0.426,0.419
01/09/2022,0.462,0.432
01/09/2023,0.405,0.445
01/09/2024,0.348,0.42
01/10/2020,0.413,0.426
01/10/2021,0.399,0.423
01/10/2022,0.33,0.398
01/10/2023,0.167,0.361
01/10/2024,0.627,0.384
01/11/2016,0.318,0.372
01/11/2017,0.318,0.367
01/11/2021,0.672,0.404
01/11/2022,0.321,0.393
01/11/2023,0.26,0.383
01/11/2024,0.005,0.36
01/12/2020,0.991,0.412
01/12/2021,0.426,0.428
01/12/2022,0.148,0.403
01/12/2023,0.378,0.361
01/12/2024,0.436,0.378
02/01/2019,0.983,0.481
02/01/2021,0.691,0.579
02/01/2022,0.403,0.495
02/01/2023,0.157,0.457
02/01/2024,0.45,0.5
02/01/2025,0.011,0.447
02/02/2017,0.318,0.43
02/02/2021,0.43,0.351
02/02/2022,0.744,0.359
02/02/2023,0.245,0.336
02/02/2024,0.339,0.362
02/02/2025,0.279,0.338
02/03/2021,0.554,0.416
02/03/2022,0.374,0.424
02/03/2023,0.327,0.409
02/03/2024,0.427,0.364
02/03/2025,0.0,0.329
02/04/2017,0.318,0.326
02/04/2020,0.608,0.373
02/04/2021,0.471,0.361
02/04/2022,0.11,0.323
02/04/2023,0.203,0.305
02/04/2024,0.021,0.247
02/04/2025,0.044,0.254
02/05/2018,0.318,0.254
02/05/2019,0.991,0.308
02/05/2021,0.284,0.282
02/05/2022,0.292,0.308
02/05/2023,0.414,0.338
02/05/2024,0.695,0.434
02/05/2025,-0.07,0.418
02/06/2020,0.998,0.515
02/06/2021,0.495,0.444
02/06/2022,0.326,0.45
02/06/2023,0.436,0.471
02/06/2024,0.999,0.554
02/07/2018,0.986,0.596
02/07/2019,0.665,0.701
02/07/2020,0.83,0.677
02/07/2021,0.548,0.684
02/07/2022,0.258,0.675
02/07/2023,0.385,0.667
02/07/2024,0.434,0.587
02/08/2017,0.318,0.491
02/08/2021,0.363,0.448
02/08/2022,0.474,0.397
02/08/2023,0.332,0.366
02/08/2024,0.246,0.365
02/09/2018,-0.89,0.182
02/09/2020,0.991,0.262
02/09/2021,0.292,0.258
02/09/2022,0.359,0.258
02/09/2023,0.719,0.293
02/09/2024,0.436,0.308
02/10/2015,0.796,0.386
02/10/2016,0.612,0.601
02/10/2017,0.863,0.582
02/10/2018,0.993,0.683
02/10/2019,0.625,0.721
02/10/2020,0.66,0.712
02/10/2021,0.189,0.677
02/10/2022,0.051,0.57
02/10/2023,0.331,0.53
02/10/2024,0.683,0.505
02/11/2020,0.878,0.488
02/11/2021,0.378,0.453
02/11/2022,0.599,0.444
02/11/2023,0.634,0.508
02/12/2021,0.216,0.531
02/12/2022,0.38,0.538
02/12/2023,0.574,0.523
02/12/2024,-0.119,0.38
03/01/2016,0.273,0.365
03/01/2017,-0.297,0.237
03/01/2018,0.994,0.289
03/01/2020,0.869,0.382
03/01/2021,0.938,0.462
03/01/2022,0.598,0.465
03/01/2023,0.173,0.507
03/01/2024,0.703,0.568
03/01/2025,0.112,0.627
03/02/2021,0.937,0.619
03/02/2022,0.428,0.556
03/02/2023,0.398,0.478
03/02/2024,0.449,0.457
03/02/2025,-0.045,0.426
03/03/2021,0.14,0.346
03/03/2022,0.355,0.38
03/03/2023,0.508,0.319
03/03/2024,0.716,0.36
03/03/2025,0.062,0.312
03/04/2018,0.993,0.39
03/04/2019,0.904,0.525
03/04/2021,0.411,0.564
03/04/2022,0.173,0.538
03/04/2023,0.047,0.472
03/04/2024,0.421,0.43
03/04/2025,0.02,0.424
03/05/2017,0.0,0.282
03/05/2021,0.509,0.226
03/05/2022,0.643,0.259
03/05/2023,0.491,0.304
03/05/2024,0.636,0.389
03/05/2025,0.0,0.328
03/06/2021,0.473,0.393
03/06/2022,0.203,0.422
03/06/2023,0.214,0.38
03/06/2024,0.519,0.362
03/07/2016,0.422,0.352
03/07/2017,0.935,0.395
03/07/2020,0.992,0.537
03/07/2021,0.509,0.542
03/07/2022,0.003,0.513
03/07/2023,0.554,0.562
03/07/2024,0.593,0.573
03/08/2021,0.41,0.571
03/08/2022,0.433,0.499
03/08/2023,0.471,0.425
03/08/2024,0.489,0.422
03/09/2020,0.545,0.499
03/09/2021,0.164,0.444
03/09/2022,0.5,0.43
03/09/2023,0.727,0.476
03/09/2024,0.344,0.463
03/10/2018,0.44,0.458
03/10/2021,0.036,0.394
03/10/2022,0.14,0.336
03/10/2023,0.304,0.356
03/10/2024,0.452,0.349
03/11/2015,0.49,0.315
03/11/2017,0.934,0.399
03/11/2020,0.202,0.365
03/11/2021,0.511,0.433
03/11/2022,0.36,0.465
03/11/2023,0.479,0.49
03/12/2020,0.865,0.549
03/12/2021,0.138,0.498
03/12/2022,0.429,0.426
03/12/2023,0.378,0.451
03/12/2024,-0.17,0.354
04/01/2021,0.98,0.443
04/01/2022,0.425,0.435
04/01/2023,0.252,0.347
04/01/2024,0.552,0.407
04/01/2025,-0.119,0.328
04/02/2019,0.939,0.408
04/02/2021,0.978,0.572
04/02/2022,0.578,0.515
04/02/2023,0.466,0.521
04/02/2024,0.177,0.51
04/02/2025,0.686,0.529
04/03/2021,0.621,0.635
04/03/2022,0.265,0.539
04/03/2023,0.298,0.442
04/03/2024,0.474,0.427
04/03/2025,0.049,0.367
04/04/2016,0.0,0.342
04/04/2019,0.45,0.308
04/04/2021,0.626,0.309
04/04/2022,0.437,0.333
04/04/2023,0.304,0.334
04/04/2024,0.184,0.293
04/04/2025,0.177,0.311
04/05/2016,0.0,0.311
04/05/2021,0.194,0.275
04/05/2022,0.47,0.252
04/05/2023,0.48,0.258
04/05/2024,0.434,0.277
04/05/2025,0.151,0.272
04/06/2020,0.872,0.372
04/06/2021,0.344,0.421
04/06/2022,0.211,0.423
04/06/2023,0.464,0.422
04/06/2024,0.423,0.414
04/07/2021,0.661,0.447
04/07/2022,0.099,0.439
04/07/2023,0.375,0.368
04/07/2024,0.536,0.396
04/08/2021,0.585,0.449
04/08/2022,0.386,0.438
04/08/2023,0.436,0.44
04/08/2024,0.736,0.45
04/09/2018,-0.314,0.391
04/09/2020,0.705,0.439
04/09/2021,0.012,0.364
04/09/2022,0.467,0.347
04/09/2023,0.42,0.352
04/09/2024,0.696,0.389
04/10/2021,0.392,0.34
04/10/2022,0.282,0.425
04/10/2023,0.574,0.406
04/10/2024,0.675,0.501
04/11/2021,0.471,0.501
04/11/2022,0.245,0.476
04/11/2023,0.392,0.433
04/11/2024,0.0,0.377
04/12/2020,0.921,0.468
04/12/2021,0.69,0.485
04/12/2022,0.448,0.452
04/12/2023,0.503,0.457
05/01/2021,0.99,0.563
05/01/2022,0.374,0.561
05/01/2023,0.333,0.608
05/01/2024,0.312,0.521
05/01/2025,0.357,0.474
05/02/2018,0.997,0.552
05/02/2021,0.877,0.606
05/02/2022,0.603,0.55
05/02/2023,0.123,0.515
05/02/2024,0.25,0.503
05/02/2025,0.24,0.492
05/03/2021,0.606,0.528
05/03/2022,-0.314,0.341
05/03/2023,0.706,0.316
05/03/2024,0.168,0.254
05/03/2025,0.042,0.243
05/04/2021,0.517,0.281
05/04/2022,0.353,0.297
05/04/2023,0.478,0.279
05/04/2024,0.058,0.332
05/04/2025,0.0,0.231
05/05/2021,0.462,0.273
05/05/2022,0.373,0.32
