Date,Average Score,7 MA
2025-01-17,0.0,
2025-01-21,0.0,
2025-01-23,0.0,
2025-01-29,0.5,
2025-01-31,0.0,
2025-02-04,0.0,
2025-02-05,-0.1,0.057
2025-02-12,0.5,0.129
2025-02-15,0.067,0.138
2025-02-18,0.0,0.138
2025-02-19,0.0,0.067
2025-02-20,-0.058,0.058
2025-02-21,0.125,0.076
2025-02-23,0.276,0.13
2025-02-25,0.142,0.079
2025-02-26,-0.033,0.065
2025-02-27,0.017,0.067
2025-02-28,0.035,0.072
2025-03-01,-0.233,0.047
2025-03-02,0.0,0.029
2025-03-03,-0.004,-0.011
2025-03-04,0.005,-0.03
2025-03-05,0.062,-0.017
2025-03-06,0.0,-0.019
2025-03-07,0.0,-0.024
2025-03-08,-0.021,0.006
2025-03-09,0.175,0.031
2025-03-10,0.0,0.032
2025-03-11,0.0,0.031
2025-03-12,0.068,0.032
2025-03-13,0.171,0.056
2025-03-14,0.01,0.058
2025-03-16,-0.2,0.032
2025-03-17,0.125,0.025
2025-03-18,0.034,0.03
2025-03-19,0.05,0.037
2025-03-20,0.0,0.027
2025-03-21,0.267,0.041
2025-03-22,0.0,0.039
2025-03-23,0.0,0.068
2025-03-24,0.027,0.054
2025-03-25,0.13,0.068
2025-03-26,0.063,0.07
2025-03-27,-0.25,0.034
