Date,Average Score,7 MA
01/01/2022,0.107,
01/02/2022,0.056,
01/02/2024,0.089,
01/03/2022,0.043,
01/03/2024,0.093,
01/03/2025,-0.233,
01/04/2021,0.109,0.038
01/04/2025,0.094,0.036
01/05/2021,0.101,0.042
01/05/2022,0.091,0.043
01/05/2023,0.083,0.048
01/05/2024,0.073,0.045
01/05/2025,0.127,0.097
01/06/2023,0.126,0.099
01/07/2022,0.032,0.09
01/07/2024,0.049,0.083
01/08/2022,0.007,0.071
01/08/2024,0.075,0.07
01/09/2021,0.15,0.081
01/09/2022,0.068,0.072
01/09/2023,0.228,0.087
01/10/2023,0.206,0.112
01/11/2021,0.129,0.123
01/11/2022,0.083,0.134
01/11/2023,0.078,0.135
01/12/2021,0.113,0.129
01/12/2022,0.144,0.14
02/01/2024,0.1,0.122
02/01/2025,0.079,0.104
02/02/2022,0.085,0.097
02/02/2023,0.145,0.106
02/02/2024,0.052,0.103
02/03/2021,0.1,0.101
02/03/2023,0.159,0.103
02/03/2025,0.0,0.089
02/04/2022,0.025,0.081
02/04/2025,0.0,0.069
02/05/2022,0.111,0.064
02/05/2023,-0.072,0.046
02/05/2024,0.087,0.044
02/05/2025,-0.006,0.021
02/07/2022,0.08,0.032
02/08/2021,0.106,0.044
02/08/2022,0.086,0.056
02/08/2024,0.07,0.05
02/09/2021,0.0,0.06
02/09/2022,0.058,0.056
02/11/2021,0.065,0.066
02/11/2023,0.063,0.064
02/12/2021,0.107,0.064
02/12/2024,0.143,0.072
03/01/2022,0.168,0.086
03/01/2024,0.116,0.103
03/01/2025,0.009,0.096
03/02/2022,0.072,0.097
03/03/2021,0.163,0.111
03/03/2022,0.076,0.107
03/03/2023,0.052,0.094
03/03/2025,-0.003,0.069
03/04/2022,-0.005,0.052
03/04/2023,0.181,0.077
03/04/2025,-0.011,0.065
03/05/2022,0.209,0.071
03/05/2023,-0.006,0.06
03/05/2024,0.109,0.068
03/06/2021,0.044,0.074
03/06/2022,-0.066,0.066
03/07/2023,0.122,0.057
03/07/2024,0.284,0.099
03/08/2022,0.066,0.079
03/08/2023,0.089,0.093
03/09/2021,0.034,0.082
03/09/2024,0.099,0.09
03/10/2022,0.066,0.109
03/10/2023,0.076,0.102
03/10/2024,0.097,0.075
03/11/2023,0.083,0.078
03/12/2021,0.106,0.08
04/01/2022,0.117,0.092
04/01/2023,0.118,0.095
04/01/2024,0.079,0.097
04/02/2022,0.052,0.093
04/02/2024,0.116,0.096
04/02/2025,0.0,0.084
04/03/2022,0.006,0.07
04/03/2025,0.004,0.054
04/04/2022,0.067,0.046
04/04/2023,0.12,0.052
04/04/2024,0.217,0.076
04/04/2025,-0.026,0.055
04/05/2021,0.095,0.069
04/05/2022,-0.026,0.064
04/05/2025,0.0,0.064
04/06/2022,0.023,0.058
04/07/2023,0.162,0.064
04/07/2024,0.133,0.052
04/08/2022,0.082,0.067
04/08/2023,0.14,0.073
04/09/2023,0.091,0.09
04/10/2021,0.047,0.097
04/10/2023,0.106,0.109
04/11/2021,0.083,0.097
04/11/2022,0.139,0.098
04/12/2020,0.102,0.101
04/12/2023,0.118,0.098
05/01/2022,0.102,0.1
05/01/2024,0.106,0.108
05/02/2021,-0.087,0.08
05/02/2022,0.087,0.081
05/02/2024,0.192,0.089
05/02/2025,-0.1,0.06
05/03/2021,0.08,0.054
05/03/2025,0.062,0.049
05/04/2021,0.09,0.046
05/04/2024,0.099,0.073
05/04/2025,0.038,0.066
05/05/2021,0.215,0.069
05/05/2022,0.041,0.089
05/05/2023,0.149,0.099
05/05/2025,0.061,0.099
05/06/2023,0.09,0.099
05/07/2022,0.048,0.092
05/07/2023,0.078,0.097
05/08/2021,0.106,0.082
05/08/2022,0.066,0.085
05/08/2024,0.118,0.081
05/09/2023,0.155,0.094
05/10/2021,0.119,0.099
05/10/2023,-0.037,0.086
05/10/2024,-0.105,0.06
05/12/2022,-0.004,0.045
05/12/2024,0.075,0.046
06/01/2022,0.054,0.037
06/02/2022,0.09,0.027
06/03/2023,0.158,0.033
06/03/2025,0.0,0.038
06/04/2023,0.11,0.069
06/04/2024,0.062,0.078
06/04/2025,0.0,0.068
06/05/2021,0.272,0.099
06/05/2022,0.053,0.094
06/05/2024,0.111,0.087
