Date,Average Score,7 MA
2025-01-29,0.125,
2025-02-03,0.0,
2025-02-04,-0.4,
2025-02-06,0.117,
2025-02-07,0.031,
2025-02-10,0.0,
2025-02-12,0.0,-0.018
2025-02-13,0.5,0.035
2025-02-18,0.0,0.035
2025-02-19,0.133,0.112
2025-02-20,0.144,0.115
2025-02-21,0.0,0.111
2025-02-24,0.15,0.132
2025-02-25,0.0,0.132
2025-02-26,-0.082,0.049
2025-02-27,-0.062,0.04
2025-02-28,-0.027,0.018
2025-03-01,0.288,0.038
2025-03-02,0.025,0.042
2025-03-03,0.017,0.023
2025-03-04,0.063,0.032
2025-03-05,0.0,0.043
2025-03-06,-0.5,-0.019
2025-03-07,0.1,-0.001
2025-03-08,0.5,0.029
2025-03-09,0.0,0.026
2025-03-10,0.25,0.059
2025-03-11,0.211,0.08
2025-03-12,0.35,0.13
2025-03-13,0.0,0.202
2025-03-14,0.2,0.216
2025-03-15,0.15,0.166
2025-03-17,0.25,0.202
2025-03-18,0.057,0.174
2025-03-19,0.108,0.159
2025-03-20,0.164,0.133
2025-03-21,0.0,0.133
2025-03-22,0.0,0.104
2025-03-23,-0.5,0.011
2025-03-24,0.284,0.016
2025-03-25,0.067,0.018
2025-03-26,0.036,0.007
