Date,Average Score,7 MA
01/01/2022,0.13,
01/01/2024,0.058,
01/02/2021,0.089,
01/02/2022,0.027,
01/02/2023,0.026,
01/02/2024,0.038,
01/03/2021,0.036,0.058
01/03/2022,0.052,0.047
01/03/2023,0.1,0.053
01/03/2024,0.128,0.058
01/03/2025,0.288,0.095
01/04/2021,0.099,0.106
01/04/2025,-0.033,0.096
01/05/2019,0.057,0.099
01/05/2020,0.082,0.103
01/05/2021,0.089,0.101
01/05/2023,0.106,0.098
01/05/2024,0.08,0.069
01/06/2021,0.052,0.062
01/06/2022,0.058,0.075
01/07/2021,0.175,0.092
01/07/2022,0.038,0.085
01/07/2024,0.124,0.09
01/08/2019,0.056,0.083
01/08/2021,0.019,0.075
01/08/2022,0.027,0.071
01/08/2023,0.106,0.078
01/09/2020,0.078,0.064
01/09/2021,0.079,0.07
01/09/2022,0.048,0.059
01/09/2024,0.198,0.079
01/10/2021,0.079,0.088
01/10/2022,0.122,0.101
01/10/2023,0.101,0.101
01/10/2024,0.152,0.111
01/11/2019,0.082,0.112
01/11/2021,0.06,0.113
01/11/2022,0.027,0.089
01/11/2023,0.106,0.093
01/12/2021,0.127,0.094
01/12/2022,0.023,0.082
01/12/2023,0.222,0.092
02/01/2023,0.106,0.096
02/01/2024,0.151,0.109
02/02/2021,0.114,0.121
02/02/2022,0.068,0.116
02/02/2023,0.142,0.118
02/02/2024,-0.008,0.114
02/03/2016,0.097,0.096
02/03/2021,0.032,0.085
02/03/2022,0.047,0.07
02/03/2023,0.07,0.064
02/03/2025,0.025,0.058
02/04/2021,0.074,0.048
02/04/2022,0.101,0.064
02/04/2025,0.141,0.07
02/05/2016,0.096,0.079
02/05/2021,0.035,0.077
02/05/2022,0.048,0.074
02/05/2024,0.069,0.081
02/05/2025,0.204,0.099
02/06/2020,0.032,0.089
02/06/2021,0.091,0.082
02/06/2022,0.073,0.079
02/06/2024,0.015,0.076
02/07/2020,0.14,0.089
02/07/2021,0.031,0.084
02/07/2022,0.134,0.074
02/07/2024,0.233,0.102
02/08/2021,0.047,0.096
02/08/2022,0.09,0.099
02/08/2023,0.305,0.14
02/08/2024,0.09,0.133
02/09/2021,0.091,0.141
02/09/2023,0.125,0.14
02/10/2023,0.089,0.12
02/11/2020,0.11,0.129
02/11/2021,0.143,0.136
02/11/2022,-0.02,0.09
02/11/2023,0.14,0.097
02/12/2020,0.062,0.093
02/12/2021,0.078,0.086
02/12/2022,0.062,0.082
02/12/2024,0.095,0.08
03/01/2024,0.184,0.086
03/01/2025,0.115,0.105
03/02/2020,0.082,0.097
03/02/2021,0.089,0.101
03/02/2022,0.068,0.099
03/02/2023,0.207,0.12
03/02/2024,0.0,0.106
03/02/2025,0.0,0.08
03/03/2021,0.174,0.089
03/03/2022,0.097,0.091
03/03/2023,-0.059,0.07
03/03/2024,0.078,0.071
03/03/2025,0.014,0.043
03/04/2020,0.032,0.048
03/04/2021,-0.189,0.021
03/04/2023,0.082,0.008
03/04/2025,0.188,0.021
03/05/2020,0.019,0.032
03/05/2021,0.054,0.029
03/05/2022,0.068,0.036
03/06/2021,0.011,0.033
03/06/2024,0.025,0.064
03/08/2020,0.066,0.062
03/08/2021,0.023,0.038
03/08/2023,0.144,0.056
03/09/2020,0.004,0.049
03/09/2021,0.107,0.054
