date,count,normalized
19/02/2016,1,0.994
05/10/2017,1,0.997
27/11/2017,1,0.997
30/11/2017,1,0.989
31/01/2018,1,0.995
16/03/2018,1,0.991
27/03/2018,1,-0.244
16/04/2018,1,0.997
22/06/2018,1,-0.807
23/10/2018,1,0.995
30/11/2018,1,0.998
03/01/2019,2,0.9795
22/02/2019,1,0.997
01/04/2019,1,0.994
16/04/2019,1,0.906
18/04/2019,1,-0.949
22/04/2019,1,-0.924
25/04/2019,3,0.7543
29/04/2019,1,-0.987
01/05/2019,3,0.362
07/05/2019,1,0.906
10/05/2019,1,-0.987
13/05/2019,1,0.906
14/05/2019,1,-0.924
15/05/2019,2,0.0365
16/05/2019,1,-0.985
17/05/2019,1,-0.422
20/05/2019,1,-0.924
21/05/2019,1,0.906
22/05/2019,1,0.863
23/05/2019,1,-0.993
24/05/2019,1,0.844
26/05/2019,1,0.71
27/05/2019,1,-0.924
29/05/2019,1,0.975
30/05/2019,1,-0.966
31/05/2019,2,-0.705
03/06/2019,2,0.0315
06/06/2019,1,-0.989
07/06/2019,1,-0.988
10/06/2019,1,-0.924
13/06/2019,1,0.906
14/06/2019,1,-0.988
16/06/2019,1,-0.924
23/03/2020,1,0.994
24/03/2020,1,0.94
27/03/2020,2,0.9795
30/03/2020,2,0.1555
07/04/2020,2,0.238
08/04/2020,1,0.559
09/04/2020,1,0.987
23/04/2020,3,-0.7807
24/04/2020,2,0.999
27/04/2020,5,0.8918
28/04/2020,1,0.98
30/04/2020,1,0.994
01/05/2020,1,0.998
05/05/2020,2,0.6475
06/05/2020,1,0.991
07/05/2020,2,0.9785
12/05/2020,1,0.997
13/05/2020,2,-0.027
14/05/2020,2,0.9715
15/05/2020,1,0.984
18/05/2020,1,0.996
19/05/2020,1,0.998
20/05/2020,2,0.85
28/05/2020,1,0.973
10/06/2020,1,0.996
15/06/2020,1,0.953
19/06/2020,1,0.995
24/06/2020,1,-0.908
29/06/2020,2,0.3025
02/07/2020,3,0.344
03/07/2020,1,-0.153
