date,count,normalized
06/07/2015,1,0.822
08/07/2015,2,0.999
16/07/2015,1,0.999
20/07/2015,1,0.999
21/07/2015,1,0.96
24/08/2015,1,0.996
27/08/2015,1,0.995
31/08/2015,1,0.996
03/09/2015,1,0.998
08/09/2015,1,0.996
09/09/2015,1,0.997
16/09/2015,2,0.9975
17/09/2015,2,0.9975
29/09/2015,4,0.9973
01/10/2015,1,0.997
05/10/2015,2,0.9965
08/10/2015,1,0.979
15/10/2015,2,0.999
20/10/2015,1,0.965
21/10/2015,1,1
11/11/2015,1,0.997
12/11/2015,1,0.968
16/11/2015,1,0.998
24/11/2015,1,0.984
30/11/2015,1,0.991
01/12/2015,2,0.9965
09/12/2015,2,0.9965
04/01/2016,1,0.989
12/01/2016,2,0.9855
14/01/2016,1,0.999
19/01/2016,1,0.998
20/01/2016,1,0.998
01/02/2016,1,1
02/02/2016,1,0.999
10/02/2016,1,0.998
11/02/2016,1,0.96
17/02/2016,1,0.996
23/02/2016,1,0.999
01/03/2016,1,0.998
02/03/2016,1,0.998
07/03/2016,1,0.974
10/03/2016,1,0.999
14/03/2016,1,0.999
15/03/2016,2,0.9975
23/03/2016,1,0.998
29/03/2016,1,0.999
31/03/2016,1,0.999
05/04/2016,1,0.993
07/04/2016,1,0.979
12/04/2016,1,0.98
14/04/2016,1,0.998
21/04/2016,1,0.999
29/04/2016,1,0.988
11/05/2016,1,0.963
12/05/2016,1,0.989
19/05/2016,1,0.974
25/05/2016,1,0.999
01/06/2016,3,0.9963
13/06/2016,1,0.996
14/06/2016,1,0.995
21/06/2016,1,0.999
29/06/2016,2,0.9905
07/07/2016,1,0.979
13/07/2016,2,0.992
21/07/2016,1,0.999
25/07/2016,1,0.993
26/07/2016,3,0.997
04/08/2016,1,0.998
08/08/2016,1,0.999
12/08/2016,1,0.995
18/08/2016,1,0.993
29/08/2016,1,0.997
31/08/2016,1,0.993
05/09/2016,1,0.997
06/09/2016,1,0.998
07/09/2016,2,0.9795
09/09/2016,1,0.999
10/09/2016,1,0.998
13/09/2016,1,0.996
23/09/2016,1,0.999
27/09/2016,2,0.9985
03/10/2016,1,0.999
06/10/2016,1,0.979
07/10/2016,1,0.996
14/10/2016,2,0.994
20/10/2016,1,1
24/10/2016,1,0.999
25/10/2016,1,0.997
27/10/2016,1,0.997
07/11/2016,1,0.999
14/11/2016,1,0.999
15/11/2016,1,0.986
17/11/2016,1,0.965
30/11/2016,1,0.982
05/12/2016,2,0.998
08/12/2016,1,1
09/12/2016,1,0.999
12/12/2016,1,0.997
13/12/2016,1,0.995
03/01/2017,1,0.998
05/01/2017,2,0.9975
12/01/2017,1,0.976
31/01/2017,1,0.999
07/02/2017,1,0.999
21/02/2017,2,0.9925
22/02/2017,1,0.995
02/03/2017,1,0.997
07/03/2017,1,0.988
08/03/2017,1,0.986
16/03/2017,1,0.995
30/03/2017,2,0.9865
04/04/2017,1,0.952
10/04/2017,2,0.9785
11/04/2017,1,0.997
18/04/2017,1,0.995
24/04/2017,1,0.998
01/05/2017,1,0.999
16/05/2017,1,0.992
17/05/2017,1,0.999
18/05/2017,1,0.96
25/05/2017,1,0.974
31/05/2017,1,0.999
05/06/2017,1,0.997
15/06/2017,1,0.996
20/06/2017,1,0.999
27/06/2017,1,0.998
29/06/2017,1,0.996
03/07/2017,1,0.974
10/07/2017,1,0.974
11/07/2017,1,1
25/07/2017,1,0.999
27/07/2017,1,0.999
31/07/2017,3,0.998
03/08/2017,2,0.984
10/08/2017,1,0.998
14/08/2017,1,0.99
23/08/2017,1,0.996
28/08/2017,1,0.992
31/08/2017,1,0.999
03/10/2017,1,0.999
09/10/2017,1,0.974
24/10/2017,1,1
26/10/2017,2,0.999
01/11/2017,1,0.978
02/11/2017,1,0.968
06/11/2017,1,0.986
09/11/2017,1,0.998
13/11/2017,2,0.999
20/11/2017,1,0.995
05/12/2017,2,0.994
12/12/2017,1,1
13/12/2017,1,0.994
08/01/2018,1,0.997
09/01/2018,1,0.974
10/01/2018,1,0.988
16/01/2018,1,0.896
19/01/2018,2,0.9475
23/01/2018,1,0.995
30/01/2018,1,0.999
31/01/2018,1,-0.272
02/02/2018,1,-0.924
03/02/2018,1,0.896
06/02/2018,2,0.9935
07/02/2018,2,-0.77
08/02/2018,1,0.839
12/02/2018,1,0.994
20/02/2018,1,0.96
21/02/2018,1,1
23/02/2018,1,0.885
26/02/2018,1,-0.272
27/02/2018,1,1
01/03/2018,2,0.035
05/03/2018,1,-0.709
07/03/2018,1,0.967
08/03/2018,1,-0.831
11/03/2018,1,0.896
15/03/2018,1,0.997
21/03/2018,1,0.998
03/04/2018,2,0.9975
13/04/2018,1,0.993
14/04/2018,1,0.99
16/04/2018,2,0.982
19/04/2018,1,0.992
23/04/2018,1,0.974
25/04/2018,1,0.999
