date,count,normalized
22/10/2015,1,0.989
11/01/2016,1,0.983
05/05/2016,1,0.997
16/06/2016,1,0.999
11/08/2016,1,0.926
13/04/2017,1,0.998
12/05/2017,1,0.994
28/08/2017,1,1
05/10/2017,1,0.997
27/11/2017,1,0.996
28/11/2017,1,0.999
01/02/2018,1,0.996
14/03/2018,1,0.983
16/03/2018,1,0.991
04/04/2018,1,0.999
16/04/2018,1,0.997
12/07/2018,1,0.973
30/07/2018,1,0.998
31/07/2018,1,0.997
15/08/2018,1,0.994
27/08/2018,1,0.999
30/10/2018,1,0.996
13/11/2018,1,0.98
07/12/2018,1,0.997
05/02/2019,1,0.982
27/02/2019,1,0.997
11/03/2019,1,0.994
12/03/2019,1,1
15/04/2019,1,0.995
16/07/2019,1,0.99
06/08/2019,1,0.95
28/08/2019,1,0.998
20/12/2019,1,0.998
27/03/2020,1,0.99
30/03/2020,1,0.992
09/04/2020,2,0.972
16/04/2020,1,0.998
20/04/2020,1,0.998
22/04/2020,1,0.983
23/04/2020,4,0.5038
24/04/2020,2,0.9975
25/04/2020,2,0.9545
26/04/2020,1,-0.997
27/04/2020,4,0.8658
28/04/2020,2,0.943
04/05/2020,2,0.131
06/05/2020,2,0.994
07/05/2020,1,1
12/05/2020,1,0.997
15/05/2020,1,0.984
16/05/2020,1,0.785
20/05/2020,1,0.706
03/06/2020,1,0.995
04/06/2020,1,0.999
05/06/2020,2,0.189
06/06/2020,1,0.987
10/06/2020,1,0.926
11/06/2020,1,0.771
15/06/2020,1,0.981
16/06/2020,2,0.948
17/06/2020,1,0.996
19/06/2020,1,0.995
23/06/2020,1,0.898
24/06/2020,1,0.995
25/06/2020,1,0.836
29/06/2020,2,0.9565
02/07/2020,2,0.9915
03/07/2020,4,0.9615
06/07/2020,2,0.996
07/07/2020,1,0.925
08/07/2020,1,0.867
10/07/2020,2,0.989
14/07/2020,4,0.9935
15/07/2020,3,0.9737
16/07/2020,2,0.996
23/07/2020,1,-0.805
28/07/2020,1,0.844
29/07/2020,3,0.992
30/07/2020,4,0.999
04/08/2020,5,0.98
06/08/2020,2,0.984
11/08/2020,1,0.998
13/08/2020,2,0.889
18/08/2020,3,0.8493
19/08/2020,1,0.96
21/08/2020,6,0.9823
24/08/2020,4,0.982
25/08/2020,4,0.9925
27/08/2020,1,1
28/08/2020,2,0.7995
31/08/2020,4,0.991
01/09/2020,2,1
02/09/2020,4,0.844
03/09/2020,6,0.6993
04/09/2020,2,0
08/09/2020,4,0.8713
09/09/2020,3,0.948
11/09/2020,2,0.995
16/09/2020,1,0.975
17/09/2020,5,0.9792
18/09/2020,3,0.943
22/09/2020,2,0.422
23/09/2020,4,0.9915
24/09/2020,4,0.892
28/09/2020,4,0.863
29/09/2020,2,0.956
30/09/2020,2,0.6555
01/10/2020,4,0.36
08/10/2020,2,1
09/10/2020,1,1
12/10/2020,6,0.983
14/10/2020,2,0.999
16/10/2020,1,0.995
20/10/2020,5,0.9586
23/10/2020,3,0.9507
27/10/2020,2,0.971
28/10/2020,3,0.9967
30/10/2020,2,0.981
02/11/2020,4,0.8885
05/11/2020,1,1
06/11/2020,5,0.9668
07/11/2020,1,0.993
09/11/2020,6,0.9952
10/11/2020,4,0.872
11/11/2020,1,0.978
12/11/2020,1,1
13/11/2020,1,0.987
16/11/2020,4,0.9895
17/11/2020,2,0.998
19/11/2020,4,0.9903
22/11/2020,1,0.993
23/11/2020,3,0.9947
24/11/2020,4,0.9773
25/11/2020,7,0.8997
01/12/2020,2,0.994
03/12/2020,2,0.389
04/12/2020,1,0.69
05/12/2020,2,0.477
06/12/2020,2,0.844
07/12/2020,3,0.714
08/12/2020,2,0.997
09/12/2020,5,0.5864
10/12/2020,2,0.866
11/12/2020,1,0.813
14/12/2020,5,0.9776
15/12/2020,2,0.997
16/12/2020,5,0.2814
17/12/2020,3,0.9203
18/12/2020,3,0.9837
20/12/2020,1,0.872
21/12/2020,2,0.93
22/12/2020,3,0.9993
23/12/2020,5,0.7832
24/12/2020,3,0.462
27/12/2020,1,1
28/12/2020,4,0.7478
29/12/2020,4,0.3305
31/12/2020,3,-0.3387
01/01/2021,1,-0.128
04/01/2021,1,0.966
05/01/2021,5,0.963
06/01/2021,4,0.5083
07/01/2021,2,0.3735
08/01/2021,8,0.9144
09/01/2021,5,0.7046
10/01/2021,1,-0.671
11/01/2021,1,0.995
12/01/2021,1,0.282
13/01/2021,1,-0.811
14/01/2021,5,0.9964
15/01/2021,4,0.992
16/01/2021,1,0.999
18/01/2021,2,0.4995
19/01/2021,7,0.8081
20/01/2021,2,0.997
21/01/2021,2,0.214
22/01/2021,7,0.7569
24/01/2021,6,0.5438
25/01/2021,3,0.254
26/01/2021,5,0.7868
27/01/2021,6,0.9477
28/01/2021,2,0.994
29/01/2021,5,0.7844
30/01/2021,3,0.8517
31/01/2021,1,0
01/02/2021,3,0.9967
02/02/2021,4,0.9165
03/02/2021,13,0.7482
04/02/2021,7,0.7817
05/02/2021,7,0.7787
06/02/2021,4,0.188
08/02/2021,16,0.864
09/02/2021,10,0.9966
10/02/2021,6,0.9722
11/02/2021,8,0.951
12/02/2021,12,0.5089
13/02/2021,3,0.8573
14/02/2021,3,0.9843
15/02/2021,5,0.555
16/02/2021,3,0.666
17/02/2021,8,0.6984
18/02/2021,15,0.7119
19/02/2021,19,0.5967
20/02/2021,6,0.5557
21/02/2021,6,0.5335
22/02/2021,12,0.7899
23/02/2021,5,0.6598
24/02/2021,13,0.8477
25/02/2021,11,0.588
26/02/2021,25,0.4416
27/02/2021,6,0.8903
28/02/2021,1,0.844
01/03/2021,16,0.9028
02/03/2021,10,0.9666
03/03/2021,12,0.6501
04/03/2021,19,0.7454
05/03/2021,28,0.6821
06/03/2021,2,0.68
07/03/2021,1,0.818
08/03/2021,16,0.7478
09/03/2021,14,0.5314
10/03/2021,14,0.5846
11/03/2021,13,0.8275
12/03/2021,26,0.857
13/03/2021,11,0.7046
14/03/2021,8,0.476
15/03/2021,25,0.8832
16/03/2021,31,0.5715
17/03/2021,27,0.8146
18/03/2021,30,0.6579
19/03/2021,38,0.6956
20/03/2021,10,0.2381
21/03/2021,9,0.7751
