date,count,normalized
09/03/2017,1,0.997
01/12/2017,1,0.994
20/12/2017,1,0.995
21/12/2017,1,0.557
15/02/2018,1,0.994
26/04/2018,1,0.995
03/08/2018,1,0.995
25/09/2018,1,0.983
10/10/2018,1,0.997
05/11/2018,1,0.999
04/12/2018,1,0.992
09/12/2018,1,0.989
14/01/2019,1,0.995
03/05/2019,1,0.996
25/03/2020,1,0.996
30/03/2020,1,0.992
03/04/2020,1,0.959
22/04/2020,2,0.3705
24/04/2020,2,0.732
25/04/2020,1,0.999
27/04/2020,3,0.8093
28/04/2020,1,0.98
29/04/2020,1,0.997
30/04/2020,1,0.994
05/05/2020,2,0.9825
06/05/2020,1,0.997
07/05/2020,1,1
10/05/2020,1,0.996
12/05/2020,1,0.997
13/05/2020,3,0.3077
14/05/2020,2,0.9945
16/05/2020,1,0.785
18/05/2020,1,0.998
19/05/2020,1,0.998
23/05/2020,1,0.985
24/05/2020,1,0.983
28/05/2020,1,1
01/06/2020,1,-0.882
05/06/2020,1,0.974
06/06/2020,1,0.987
10/06/2020,1,0.996
26/06/2020,1,0.997
27/06/2020,1,1
30/06/2020,1,1
02/07/2020,1,0.999
07/07/2020,1,0.925
10/07/2020,2,0.993
14/07/2020,2,0.992
15/07/2020,1,0.999
16/07/2020,2,0.996
23/07/2020,1,-0.805
28/07/2020,2,0.99
29/07/2020,3,0.9833
30/07/2020,2,-0.977
11/08/2020,2,0.993
18/08/2020,2,0.989
25/08/2020,4,0.9925
28/08/2020,1,0.998
31/08/2020,2,0.997
02/09/2020,2,0.776
03/09/2020,4,0.977
09/09/2020,1,0.999
16/09/2020,2,0.992
17/09/2020,1,0.983
18/09/2020,2,0.997
23/09/2020,2,0.993
24/09/2020,2,0.987
28/09/2020,2,0.992
29/09/2020,4,0.9745
02/10/2020,1,0.5
05/10/2020,2,0.995
08/10/2020,1,1
12/10/2020,6,0.9953
15/10/2020,4,0.9335
20/10/2020,3,0.973
21/10/2020,2,0.995
22/10/2020,2,0.942
23/10/2020,1,0.984
26/10/2020,2,0.997
27/10/2020,3,0.98
28/10/2020,3,0.3527
29/10/2020,2,0.95
30/10/2020,3,0.9857
02/11/2020,2,0.975
03/11/2020,1,0.34
06/11/2020,3,0.9993
09/11/2020,2,0.442
12/11/2020,2,0.997
13/11/2020,1,0.987
17/11/2020,1,0.992
19/11/2020,1,1
22/11/2020,1,0.993
23/11/2020,4,0.9208
24/11/2020,1,-0.704
25/11/2020,4,0.9943
28/11/2020,2,0.976
29/11/2020,2,-0.026
01/12/2020,1,0.987
07/12/2020,3,0.9927
09/12/2020,1,0.82
11/12/2020,2,0.997
15/12/2020,2,0.997
16/12/2020,3,0.7133
22/12/2020,5,0.744
24/12/2020,1,0.78
28/12/2020,2,0.4995
30/12/2020,1,0.999
02/01/2021,1,0.998
05/01/2021,1,0.978
07/01/2021,1,1
08/01/2021,3,0.8663
09/01/2021,2,0.995
11/01/2021,2,0.991
12/01/2021,1,0.993
13/01/2021,2,0.2935
14/01/2021,2,1
15/01/2021,4,0.9963
18/01/2021,2,0.578
19/01/2021,1,0.995
20/01/2021,1,0
21/01/2021,2,0.997
22/01/2021,5,0.5914
25/01/2021,2,0.99
26/01/2021,7,0.8471
27/01/2021,3,0.9987
28/01/2021,3,0.9937
01/02/2021,3,0.9933
02/02/2021,4,0.8558
03/02/2021,5,0.752
04/02/2021,6,0.2912
05/02/2021,2,0.9945
06/02/2021,1,0.103
08/02/2021,9,0.7799
09/02/2021,7,0.9937
10/02/2021,7,0.9849
11/02/2021,2,1
12/02/2021,3,0.9933
13/02/2021,2,1
14/02/2021,6,0.933
15/02/2021,3,0.9373
16/02/2021,3,0.3657
17/02/2021,8,0.8108
18/02/2021,3,0.9657
