date,count,normalized
12/07/2015,1,0.989
27/07/2015,1,0.999
04/08/2015,1,0.986
05/08/2015,1,0.998
06/08/2015,1,0.993
26/08/2015,1,0.997
03/09/2015,1,0.994
07/09/2015,1,0.992
08/09/2015,1,0.988
09/09/2015,1,0.989
11/09/2015,1,0.995
15/09/2015,1,0.997
06/10/2015,1,0.991
10/11/2015,1,0.989
19/11/2015,1,0.995
23/11/2015,1,0.998
15/12/2015,1,0.994
16/12/2015,1,0.997
17/12/2015,1,0.996
29/12/2015,1,0.972
16/02/2016,1,0.997
29/02/2016,1,0.997
14/03/2016,1,0.999
05/04/2016,1,0.987
07/04/2016,1,0.996
12/04/2016,1,0.998
14/04/2016,1,0.999
10/05/2016,1,0.992
25/05/2016,2,0.0935
31/05/2016,1,0.997
14/06/2016,1,0.994
15/08/2016,1,0.982
15/11/2016,1,0.994
01/02/2017,1,0.996
07/02/2017,1,0.999
14/02/2017,1,0.996
23/05/2017,1,0.989
08/06/2017,1,0.997
28/08/2017,1,0.991
12/09/2017,1,0.999
03/10/2017,1,0.996
18/10/2017,1,0.998
27/11/2017,1,0.995
30/01/2018,1,0.995
01/02/2018,1,0.996
16/03/2018,1,0.991
19/03/2018,1,0.998
04/04/2018,1,0.998
17/04/2018,2,0.995
14/06/2018,1,0.998
22/06/2018,1,0.997
28/06/2018,1,0.991
01/10/2018,1,0.961
22/10/2018,1,0.995
29/10/2018,2,0.678
30/10/2018,1,0.995
01/11/2018,1,0.934
06/11/2018,1,1
30/11/2018,1,0.995
11/12/2018,1,0.956
17/12/2018,1,0.999
03/01/2019,1,0.996
15/01/2019,1,0.994
16/01/2019,1,0.999
22/01/2019,1,0.996
21/02/2019,1,0.995
01/03/2019,1,0.998
25/04/2019,1,0.999
26/04/2019,1,0.997
30/04/2019,1,0.993
02/07/2019,1,0.999
15/10/2019,1,0.998
23/01/2020,1,0.999
23/03/2020,1,0.994
27/03/2020,1,0.999
06/04/2020,1,0.807
09/04/2020,1,0.998
28/04/2020,1,0.997
13/05/2020,1,-0.95
21/05/2020,1,0.987
22/05/2020,1,0.997
03/06/2020,1,0.996
23/06/2020,1,0.477
02/07/2020,1,0.999
11/08/2020,2,0.6795
12/08/2020,1,0.991
03/09/2020,1,0.552
08/09/2020,2,0.758
10/09/2020,2,0.999
11/09/2020,2,-0.874
02/10/2020,2,0.917
07/10/2020,2,0.876
08/10/2020,2,0.989
09/10/2020,2,1
12/10/2020,2,1
16/10/2020,2,0.44
19/10/2020,3,-0.243
20/10/2020,1,0.999
21/10/2020,3,0.052
04/11/2020,2,0.637
03/12/2020,2,-0.649
16/12/2020,1,1
17/12/2020,1,0.998
21/12/2020,1,0.995
30/12/2020,1,0.999
04/01/2021,1,1
05/01/2021,1,0.998
07/01/2021,1,0.999
08/01/2021,3,0.9137
09/01/2021,2,0.995
12/01/2021,1,0.993
14/01/2021,1,0.998
19/01/2021,1,0.999
21/01/2021,2,0.978
22/01/2021,5,0.3934
25/01/2021,1,0.273
28/01/2021,1,0.999
29/01/2021,2,0.999
31/01/2021,1,0.727
04/02/2021,2,0.35
08/02/2021,2,0.996
09/02/2021,2,0.999
10/02/2021,1,-0.402
11/02/2021,6,0.9988
12/02/2021,2,0.996
13/02/2021,2,0.997
16/02/2021,2,0.964
19/02/2021,1,1
23/02/2021,1,0.999
25/02/2021,1,0.991
26/02/2021,3,0.836
01/03/2021,3,0.9967
03/03/2021,2,0.998
04/03/2021,1,0.997
05/03/2021,2,0.991
07/03/2021,1,0
08/03/2021,1,0.698
09/03/2021,4,0.9985
10/03/2021,5,0.9966
11/03/2021,4,0.9148
12/03/2021,2,0.999
13/03/2021,2,0.999
14/03/2021,1,0.226
15/03/2021,4,0.9985
16/03/2021,6,0.9693
18/03/2021,5,0.7726
19/03/2021,1,0.997
20/03/2021,3,0.6633
21/03/2021,1,0.999
22/03/2021,4,0.997
23/03/2021,3,0.6553
24/03/2021,4,0.7488
25/03/2021,2,0.999
26/03/2021,3,0.5987
27/03/2021,2,0.5705
29/03/2021,4,0.9958
30/03/2021,2,0.9805
31/03/2021,1,0.872
01/04/2021,3,0.4733
04/04/2021,1,0
05/04/2021,2,0.989
07/04/2021,5,0.871
08/04/2021,5,0.8138
09/04/2021,2,1
10/04/2021,1,-0.599
11/04/2021,3,0.6913
12/04/2021,5,0.6824
13/04/2021,3,0.9953
14/04/2021,7,0.852
15/04/2021,5,0.9768
16/04/2021,2,0.499
18/04/2021,3,0.0563
19/04/2021,17,0.5699
20/04/2021,28,0.4806
21/04/2021,10,0.6042
22/04/2021,9,0.6231
23/04/2021,5,0.816
24/04/2021,2,0
26/04/2021,4,0.717
27/04/2021,9,0.9766
28/04/2021,2,0.6555
29/04/2021,9,0.9012
30/04/2021,6,0.8753
01/05/2021,1,0
02/05/2021,2,0.495
03/05/2021,2,0.482
04/05/2021,4,0.9953
05/05/2021,3,1
06/05/2021,7,0.7383
07/05/2021,5,0.9024
10/05/2021,4,0.72
11/05/2021,7,0.7701
12/05/2021,5,0.995
13/05/2021,1,0.975
14/05/2021,4,0.4088
17/05/2021,3,0.8197
18/05/2021,11,0.9383
19/05/2021,7,0.8556
20/05/2021,4,0.9983
21/05/2021,3,0.9993
22/05/2021,3,0.967
24/05/2021,5,0.976
25/05/2021,4,0.5378
26/05/2021,2,0.6335
27/05/2021,1,0.954
28/05/2021,2,0.998
30/05/2021,1,0.318
31/05/2021,2,0.999
