date,count,normalized
01/11/2021,3,0.3333
08/11/2021,1,0.971
17/11/2021,1,0.991
22/11/2021,1,0.989
30/11/2021,1,0.817
02/12/2021,1,0.996
31/12/2021,1,0.989
03/01/2022,1,0.361
04/01/2022,1,0
05/01/2022,2,0.2885
06/01/2022,1,0.998
14/01/2022,1,0.751
19/01/2022,1,0.997
21/01/2022,1,0.99
24/01/2022,1,0
08/06/2022,4,0.2543
09/06/2022,15,0.117
10/06/2022,18,0.2501
11/06/2022,5,0.0442
12/06/2022,3,0.771
13/06/2022,12,0.2542
14/06/2022,15,0.6216
15/06/2022,14,0.6623
16/06/2022,14,0.6234
17/06/2022,17,0.3393
18/06/2022,2,0.6195
19/06/2022,2,0.9995
20/06/2022,6,-0.0917
21/06/2022,24,0.5449
22/06/2022,17,0.3032
23/06/2022,28,0.5425
24/06/2022,24,0.5153
25/06/2022,3,0.0583
26/06/2022,3,0.2173
27/06/2022,13,0.695
28/06/2022,13,0.3518
29/06/2022,17,0.4488
30/06/2022,16,0.1968
01/07/2022,28,0.011
02/07/2022,5,-0.1312
03/07/2022,1,-0.985
04/07/2022,7,0.5341
05/07/2022,25,0.3526
06/07/2022,20,0.3544
07/07/2022,32,0.4182
08/07/2022,12,0.5769
09/07/2022,2,0.824
10/07/2022,1,-0.422
11/07/2022,19,0.1583
12/07/2022,11,0.4427
13/07/2022,19,0.3093
14/07/2022,16,-0.0829
15/07/2022,13,0.4355
16/07/2022,3,0.4513
17/07/2022,3,0.236
18/07/2022,14,0.5709
19/07/2022,30,0.2928
20/07/2022,22,0.3846
21/07/2022,25,0.4085
22/07/2022,26,0.107
23/07/2022,4,0.644
24/07/2022,4,0.7778
25/07/2022,32,0.3124
26/07/2022,25,0.3526
27/07/2022,49,0.1738
28/07/2022,48,0.2588
29/07/2022,30,0.1855
30/07/2022,1,-0.318
31/07/2022,5,0.404
01/08/2022,19,0.3646
02/08/2022,18,0.5007
03/08/2022,19,0.2279
04/08/2022,23,0.2957
05/08/2022,20,0.3312
06/08/2022,5,0.2748
07/08/2022,4,0.6713
08/08/2022,12,0.2925
09/08/2022,15,0.5129
10/08/2022,20,0.3735
11/08/2022,14,0.3584
12/08/2022,6,0.251
13/08/2022,3,0.5033
15/08/2022,10,0.2857
16/08/2022,9,0.3433
17/08/2022,13,-0.0429
18/08/2022,6,0.1468
19/08/2022,14,0.1736
20/08/2022,3,0.659
21/08/2022,4,0.595
22/08/2022,10,0.5087
23/08/2022,16,0.4643
24/08/2022,15,0.5745
25/08/2022,10,0.5166
26/08/2022,14,0.39
27/08/2022,4,0.4485
28/08/2022,5,0.4856
29/08/2022,11,0.5323
30/08/2022,11,0.4385
31/08/2022,13,0.2914
01/09/2022,11,0.4672
02/09/2022,17,0.4013
03/09/2022,2,-0.328
04/09/2022,1,0.965
05/09/2022,7,0.3659
06/09/2022,17,0.3974
07/09/2022,7,0.7623
08/09/2022,10,0.543
09/09/2022,11,0.5014
10/09/2022,1,0.966
11/09/2022,1,-0.977
12/09/2022,15,0.4765
13/09/2022,18,0.2232
14/09/2022,25,0.2127
15/09/2022,19,0.4158
16/09/2022,11,0.0844
17/09/2022,7,0.5031
18/09/2022,4,0.423
19/09/2022,8,0.5538
20/09/2022,7,0.7763
21/09/2022,14,0.1004
22/09/2022,22,0.45
23/09/2022,15,0.5267
24/09/2022,1,-0.44
25/09/2022,3,0.177
26/09/2022,7,0.766
27/09/2022,18,0.0988
28/09/2022,10,0.5139
29/09/2022,16,0.0189
30/09/2022,11,0.4111
01/10/2022,3,0.665
02/10/2022,2,-0.3205
03/10/2022,16,0.2858
04/10/2022,17,0.4346
05/10/2022,14,0.4802
06/10/2022,8,0.2231
07/10/2022,24,0.2504
08/10/2022,1,0.999
09/10/2022,5,0.5136
10/10/2022,11,0.2457
11/10/2022,28,0.3193
12/10/2022,13,0.4235
13/10/2022,16,0.1453
14/10/2022,23,0.5177
15/10/2022,6,-0.1677
16/10/2022,3,0.4663
17/10/2022,16,0.7227
18/10/2022,17,0.4184
19/10/2022,12,0.4608
20/10/2022,17,0.3261
