date,count,normalized
14/07/2015,2,0.998
28/07/2015,1,0.999
03/08/2015,1,0.999
12/08/2015,1,0.992
29/08/2015,1,0.993
31/08/2015,1,0.997
30/09/2015,1,0.997
05/10/2015,1,0.996
13/10/2015,1,1
14/10/2015,2,-0.0015
15/10/2015,1,0.998
03/11/2015,1,0.999
12/11/2015,1,0.996
20/11/2015,1,0.999
30/11/2015,3,0.999
10/12/2015,1,0.997
31/12/2015,2,0.995
12/01/2016,1,0.987
25/01/2016,1,0.992
03/02/2016,1,0.987
10/02/2016,1,0.997
15/02/2016,1,0.999
07/03/2016,1,0.993
08/03/2016,1,0.992
16/03/2016,1,0.999
24/03/2016,1,0.987
29/03/2016,1,0.998
04/04/2016,1,0.999
11/05/2016,1,0.999
08/06/2016,1,0.993
15/06/2016,1,0.998
20/06/2016,1,0.996
25/07/2016,1,0.998
23/08/2016,1,0.996
07/09/2016,1,0.999
19/09/2016,1,0.999
23/09/2016,1,0.999
27/09/2016,1,0.995
24/10/2016,1,0.996
03/11/2016,1,0.98
19/01/2017,1,0.999
23/03/2017,1,0.994
04/04/2017,1,0.996
17/08/2017,1,0.991
19/09/2017,1,0.997
05/10/2017,1,0.997
23/10/2017,1,0.998
01/11/2017,1,0.997
13/11/2017,1,0.998
29/11/2017,1,0.996
05/02/2018,1,0.998
08/02/2018,1,0.996
05/03/2018,1,0.994
16/03/2018,1,0.991
19/03/2018,1,0.996
16/04/2018,1,0.993
17/04/2018,1,0.996
03/05/2018,1,0.999
24/05/2018,1,0.997
14/06/2018,1,0.995
21/08/2018,1,0.999
25/09/2018,3,0.8973
29/10/2018,1,0.995
06/12/2018,1,0.997
17/01/2019,1,0.962
12/02/2019,1,0.994
24/02/2019,1,0.998
27/02/2019,1,0.999
07/03/2019,1,0.997
09/04/2019,1,1
16/04/2019,1,0.995
05/06/2019,1,0.992
23/03/2020,1,0.994
30/03/2020,1,0.992
10/04/2020,1,0.995
15/04/2020,1,0.998
22/04/2020,1,0.983
23/04/2020,2,-0.7035
24/04/2020,3,0.997
27/04/2020,3,0.856
28/04/2020,2,0.671
01/05/2020,1,0.998
12/05/2020,1,0.997
14/05/2020,1,0.995
19/05/2020,1,0.998
27/05/2020,1,0.993
03/06/2020,1,0.995
05/06/2020,1,0.974
09/06/2020,2,0.4995
15/06/2020,2,0.967
18/06/2020,1,0.982
19/06/2020,2,0.997
27/06/2020,1,1
29/06/2020,2,-0.1
02/07/2020,1,0.999
16/07/2020,1,0.671
03/08/2020,11,0.8523
04/08/2020,5,0.98
07/08/2020,1,0.989
13/08/2020,2,0.982
18/08/2020,2,0.997
21/08/2020,3,0.9993
24/08/2020,2,0.992
25/08/2020,2,0.979
28/08/2020,3,0.9997
01/09/2020,4,0.9755
02/09/2020,2,0.922
03/09/2020,2,0.125
04/09/2020,1,0.418
08/09/2020,1,0.649
09/09/2020,1,0.997
10/09/2020,1,0.982
15/09/2020,1,0.993
16/09/2020,1,0.975
17/09/2020,3,0.949
24/09/2020,1,-0.153
28/09/2020,4,0.996
29/09/2020,5,0.9946
01/10/2020,4,0.2335
07/10/2020,3,0.9107
08/10/2020,1,1
09/10/2020,1,1
12/10/2020,2,0.994
15/10/2020,4,0.9855
20/10/2020,3,0.973
23/10/2020,3,0.9907
28/10/2020,1,1
30/10/2020,6,0.4877
02/11/2020,6,0.6513
05/11/2020,1,0.942
06/11/2020,2,0.999
09/11/2020,2,0.996
12/11/2020,5,0.9868
13/11/2020,4,0.9933
16/11/2020,1,0.34
17/11/2020,2,0.998
19/11/2020,1,1
23/11/2020,4,0.996
24/11/2020,2,0.9655
26/11/2020,2,0.533
30/11/2020,1,0.999
06/12/2020,2,0.844
07/12/2020,2,1
09/12/2020,4,0.938
10/12/2020,4,0.9855
11/12/2020,2,0.997
15/12/2020,2,0.997
16/12/2020,2,0.758
17/12/2020,6,0.802
18/12/2020,4,0.9765
21/12/2020,3,0.9743
22/12/2020,4,0.999
23/12/2020,1,-0.599
28/12/2020,6,0.3722
29/12/2020,3,0.9727
31/12/2020,1,0.999
04/01/2021,1,0.983
05/01/2021,2,0.9945
08/01/2021,6,0.8257
09/01/2021,2,0.995
11/01/2021,2,0.999
12/01/2021,4,0.2875
13/01/2021,1,0.924
14/01/2021,2,0.988
18/01/2021,2,1
19/01/2021,1,0.995
20/01/2021,4,0.5038
21/01/2021,4,0.9943
22/01/2021,3,0.9707
23/01/2021,1,-0.273
24/01/2021,2,0.0295
25/01/2021,4,0.8443
26/01/2021,2,0.967
27/01/2021,5,0.9988
28/01/2021,2,0.999
29/01/2021,6,0.5093
30/01/2021,1,0.422
01/02/2021,1,0.984
02/02/2021,3,0.895
03/02/2021,2,0.4605
04/02/2021,1,0.919
07/02/2021,2,1
08/02/2021,2,-0.3965
09/02/2021,2,0.2705
10/02/2021,5,0.776
11/02/2021,9,0.9154
12/02/2021,7,0.9949
13/02/2021,3,0.8573
14/02/2021,2,1
16/02/2021,7,0.984
17/02/2021,3,0.9793
18/02/2021,10,0.9741
19/02/2021,2,0.998
20/02/2021,2,1
21/02/2021,2,0.974
22/02/2021,6,0.4168
23/02/2021,12,0.2463
24/02/2021,11,0.6262
26/02/2021,17,0.8377
27/02/2021,2,0.9995
01/03/2021,6,0.941
02/03/2021,8,0.9298
03/03/2021,8,0.6136
04/03/2021,10,0.6534
05/03/2021,13,0.6241
06/03/2021,6,0.5007
07/03/2021,4,0.9968
08/03/2021,12,0.368
09/03/2021,9,0.54
10/03/2021,12,0.6689
11/03/2021,11,0.5765
12/03/2021,18,0.1884
13/03/2021,7,0.2811
14/03/2021,3,0.8857
15/03/2021,12,0.717
16/03/2021,18,0.4972
17/03/2021,12,-0.0224
18/03/2021,16,0.6832
19/03/2021,10,0.8707
20/03/2021,2,0.426
21/03/2021,4,0.5958
22/03/2021,30,0.4835
23/03/2021,35,0.3606
24/03/2021,20,0.3884
25/03/2021,16,0.6886
26/03/2021,13,0.5715
27/03/2021,6,0.5927
28/03/2021,2,0.99
29/03/2021,15,0.7468
30/03/2021,8,0.3311
31/03/2021,18,0.3741
01/04/2021,23,0.4067
02/04/2021,11,0.5796
03/04/2021,8,0.7105
04/04/2021,2,-0.153
05/04/2021,17,0.5967
06/04/2021,16,0.4151
07/04/2021,20,0.4664
08/04/2021,25,0.1982
09/04/2021,20,0.4589
10/04/2021,2,0.5655
11/04/2021,6,0.5073
12/04/2021,46,0.613
13/04/2021,19,0.6805
14/04/2021,17,0.8078
15/04/2021,9,0.6693
16/04/2021,12,0.4592
17/04/2021,3,0.5243
18/04/2021,2,0.6845
19/04/2021,15,0.7089
20/04/2021,16,0.4071
21/04/2021,20,0.34
22/04/2021,21,0.3283
23/04/2021,17,0.6996
24/04/2021,3,0.505
25/04/2021,6,0.2992
26/04/2021,26,0.6948
27/04/2021,45,0.5524
28/04/2021,59,0.5453
29/04/2021,22,0.5503
30/04/2021,20,0.3277
01/05/2021,7,0.7553
02/05/2021,6,0.064
03/05/2021,21,0.674
04/05/2021,22,0.8409
05/05/2021,16,0.5817
06/05/2021,11,0.6087
07/05/2021,13,0.5665
08/05/2021,1,0.612
09/05/2021,5,0.6434
10/05/2021,18,0.7657
11/05/2021,17,0.8299
12/05/2021,18,0.3409
13/05/2021,15,0.7183
14/05/2021,15,0.4376
15/05/2021,1,0.995
16/05/2021,1,0.667
17/05/2021,28,0.4834
18/05/2021,19,0.5442
19/05/2021,16,0.4483
20/05/2021,19,0.4791
21/05/2021,17,0.8654
22/05/2021,1,0.95
23/05/2021,2,0.6735
24/05/2021,23,0.8242
25/05/2021,16,0.7415
26/05/2021,13,0.8019
27/05/2021,15,0.7819
28/05/2021,24,0.2453
29/05/2021,2,0.9995
30/05/2021,3,0.6633
31/05/2021,5,0.83
01/06/2021,10,0.6843
02/06/2021,19,0.8057
03/06/2021,16,0.6356
04/06/2021,27,0.5559
05/06/2021,6,0.899
06/06/2021,1,0.412
07/06/2021,30,0.6753
08/06/2021,19,0.4598
09/06/2021,22,0.6191
10/06/2021,28,0.8081
11/06/2021,19,0.6757
12/06/2021,5,0.4632
13/06/2021,6,0.8293
14/06/2021,42,0.5899
15/06/2021,21,0.5995
16/06/2021,24,0.6548
17/06/2021,25,0.4607
18/06/2021,18,0.7784
19/06/2021,6,0.654
20/06/2021,4,0.7073
21/06/2021,25,0.6414
22/06/2021,42,0.528
23/06/2021,39,0.5689
24/06/2021,29,0.6912
25/06/2021,31,0.2574
26/06/2021,10,0.7003
27/06/2021,3,0.198
28/06/2021,24,0.6218
29/06/2021,22,0.7512
30/06/2021,38,0.6737
01/07/2021,21,0.8023
02/07/2021,15,0.6423
03/07/2021,5,-0.4806
05/07/2021,4,0.1638
06/07/2021,37,0.4372
07/07/2021,32,0.4718
08/07/2021,12,0.5738
09/07/2021,16,0.6139
10/07/2021,3,0.561
11/07/2021,3,0.005
12/07/2021,17,0.3972
13/07/2021,20,0.471
14/07/2021,22,0.8043
15/07/2021,15,0.5859
16/07/2021,15,0.761
17/07/2021,3,0.5993
18/07/2021,4,0.8445
19/07/2021,26,0.1527
20/07/2021,21,0.8071
21/07/2021,9,0.6224
22/07/2021,18,0.4388
23/07/2021,17,0.5237
24/07/2021,2,0.4515
25/07/2021,4,0.785
26/07/2021,32,0.3599
27/07/2021,48,0.3572
28/07/2021,44,0.4136
29/07/2021,17,0.4978
30/07/2021,17,0.8272
31/07/2021,4,0.4528
01/08/2021,2,0.687
02/08/2021,17,0.6325
03/08/2021,20,0.6824
04/08/2021,13,0.596
05/08/2021,12,0.4761
06/08/2021,15,0.6789
07/08/2021,3,0.6163
08/08/2021,2,0.4455
09/08/2021,6,0.4288
10/08/2021,12,0.7439
11/08/2021,9,0.7058
12/08/2021,7,0.9093
13/08/2021,8,0.1779
14/08/2021,4,0.3713
15/08/2021,1,0
16/08/2021,15,0.4626
17/08/2021,9,0.3363
18/08/2021,2,0.9905
19/08/2021,14,0.8034
20/08/2021,34,0.389
21/08/2021,4,0.8515
23/08/2021,11,0.9145
24/08/2021,16,0.6007
25/08/2021,23,0.6611
26/08/2021,13,0.4505
27/08/2021,17,0.5109
28/08/2021,4,0.7363
30/08/2021,11,0.8188
31/08/2021,16,0.7532
01/09/2021,12,0.8974
02/09/2021,7,0.94
03/09/2021,4,0.59
04/09/2021,3,0.3007
05/09/2021,2,-0.142
07/09/2021,7,0.6119
08/09/2021,20,0.536
09/09/2021,19,0.7491
10/09/2021,13,0.6596
11/09/2021,1,-0.202
12/09/2021,1,0.511
13/09/2021,11,0.5248
14/09/2021,25,0.6551
15/09/2021,54,0.4943
16/09/2021,22,0.4767
17/09/2021,22,0.5151
18/09/2021,6,0.5613
19/09/2021,1,0.459
20/09/2021,16,0.2635
21/09/2021,21,0.644
22/09/2021,12,0.379
23/09/2021,14,0.658
24/09/2021,11,0.421
25/09/2021,3,0.6637
26/09/2021,6,0.2937
27/09/2021,15,0.5059
28/09/2021,24,0.4651
29/09/2021,17,0.4499
30/09/2021,14,0.5972
01/10/2021,13,0.7356
02/10/2021,2,0.3
03/10/2021,3,0.8073
04/10/2021,27,0.5038
05/10/2021,21,0.5634
06/10/2021,26,0.472
07/10/2021,22,0.5205
08/10/2021,21,0.4843
09/10/2021,2,0.593
11/10/2021,12,0.493
12/10/2021,19,0.4234
13/10/2021,12,0.881
14/10/2021,37,0.6418
15/10/2021,15,0.5037
17/10/2021,2,0.8875
18/10/2021,24,0.4548
19/10/2021,15,0.3732
20/10/2021,27,0.7291
21/10/2021,21,0.5489
22/10/2021,16,0.5099
23/10/2021,2,0.351
24/10/2021,9,0.5848
25/10/2021,39,0.5795
26/10/2021,45,0.7096
27/10/2021,64,0.6023
28/10/2021,34,0.7867
29/10/2021,36,0.4771
30/10/2021,6,0.2753
31/10/2021,5,0.7012
01/11/2021,27,0.3933
02/11/2021,27,0.6243
03/11/2021,20,0.7974
04/11/2021,13,0.7343
05/11/2021,19,0.7263
06/11/2021,6,0.2687
07/11/2021,3,0.5527
08/11/2021,19,0.6514
09/11/2021,11,0.7623
10/11/2021,15,0.6231
11/11/2021,15,0.5408
12/11/2021,15,0.7031
13/11/2021,2,0.2875
14/11/2021,2,0.999
15/11/2021,15,0.6997
16/11/2021,26,0.598
17/11/2021,27,0.8019
18/11/2021,13,0.321
19/11/2021,27,0.6005
20/11/2021,4,0.9998
21/11/2021,6,0.8673
22/11/2021,18,0.4959
23/11/2021,25,0.5956
24/11/2021,10,0.4349
25/11/2021,5,0.7994
26/11/2021,14,0.8231
27/11/2021,2,0.9985
28/11/2021,2,0.999
29/11/2021,18,0.7086
30/11/2021,32,0.5331
01/12/2021,20,0.4189
02/12/2021,21,0.424
03/12/2021,26,0.4062
04/12/2021,5,0.4092
05/12/2021,3,0.6913
06/12/2021,36,0.625
07/12/2021,29,0.5268
08/12/2021,15,0.5709
09/12/2021,17,0.7532
10/12/2021,31,0.6336
11/12/2021,9,0.4734
12/12/2021,4,0.8885
13/12/2021,24,0.6381
14/12/2021,28,0.3773
15/12/2021,17,0.5128
16/12/2021,18,0.5069
17/12/2021,23,0.6117
18/12/2021,5,0.7976
19/12/2021,6,0.4213
20/12/2021,28,0.2819
21/12/2021,33,0.615
22/12/2021,23,0.6484
23/12/2021,19,0.7564
24/12/2021,9,0.8943
26/12/2021,1,0.866
27/12/2021,18,0.6042
28/12/2021,29,0.6132
29/12/2021,18,0.6157
30/12/2021,12,0.7078
31/12/2021,22,0.5286
01/01/2022,2,0.541
02/01/2022,1,-0.919
03/01/2022,19,0.7826
04/01/2022,22,0.5321
05/01/2022,27,0.5284
06/01/2022,15,0.7482
07/01/2022,21,0.493
08/01/2022,5,0.6284
