date,count,normalized
29/09/2015,1,0.993
01/03/2017,1,0.981
02/03/2017,1,0.543
06/03/2017,1,-0.784
11/03/2017,1,0.798
14/03/2017,1,0.778
22/03/2017,1,0.543
24/03/2017,1,-0.626
03/04/2017,1,0.778
13/04/2017,1,0.46
14/04/2017,1,-0.805
22/04/2017,1,0.853
24/04/2017,1,0.543
27/04/2017,2,-0.083
11/10/2017,1,0.997
28/11/2017,1,0.998
02/02/2018,1,0.996
16/03/2018,1,0.991
17/04/2018,1,0.995
14/06/2018,1,0.995
12/07/2018,1,0.973
22/10/2018,1,0.995
29/11/2018,1,0.997
21/02/2019,1,0.997
07/03/2019,1,0.997
08/05/2019,1,0.997
24/07/2019,1,-0.883
26/07/2019,1,0.974
29/07/2019,1,-0.883
01/08/2019,2,-0.073
02/08/2019,2,0.705
05/08/2019,1,-0.883
06/08/2019,2,0.069
07/08/2019,1,0
09/08/2019,2,-0.0195
12/08/2019,3,0.033
16/08/2019,1,-0.973
19/08/2019,1,-0.883
20/08/2019,2,0.642
21/08/2019,1,0.974
23/08/2019,1,-0.973
26/08/2019,1,-0.883
27/08/2019,1,0.937
28/08/2019,1,0.494
30/08/2019,2,0.0045
01/09/2019,1,0.947
02/09/2019,1,-0.883
04/09/2019,2,-0.01
05/09/2019,2,0.6605
07/09/2019,1,0.921
09/09/2019,2,-0.5045
10/09/2019,1,0.974
12/09/2019,3,0.9407
13/09/2019,1,-0.957
15/09/2019,1,-0.883
17/09/2019,1,0.884
20/09/2019,1,-0.883
27/03/2020,1,0.999
15/04/2020,1,0.997
21/04/2020,1,0.918
22/04/2020,5,0.6348
23/04/2020,6,0.6663
24/04/2020,4,0.603
25/04/2020,2,0.9545
27/04/2020,4,0.8648
28/04/2020,2,0.9855
29/04/2020,2,0.998
30/04/2020,1,0.994
06/05/2020,1,0.991
07/05/2020,1,1
13/05/2020,1,0.949
21/05/2020,1,0.995
22/05/2020,1,0.999
10/06/2020,1,0.926
11/06/2020,1,0.771
16/06/2020,1,0.9
26/06/2020,1,0.997
29/06/2020,1,0.918
02/07/2020,1,0.999
07/07/2020,2,0.836
14/07/2020,2,0.995
15/07/2020,3,0.9843
04/08/2020,2,0.974
18/08/2020,1,-0.599
25/08/2020,2,0.991
31/08/2020,2,0.997
03/09/2020,3,-0.7633
04/09/2020,2,0
09/09/2020,1,0.999
11/09/2020,2,0.995
23/09/2020,2,0.993
01/10/2020,2,0.527
07/10/2020,2,-0.843
18/10/2020,1,0.994
19/10/2020,1,0.999
20/10/2020,1,0.979
27/10/2020,1,0.999
29/10/2020,2,0.986
30/10/2020,1,0.999
09/11/2020,2,0.997
10/11/2020,1,1
12/11/2020,1,1
13/11/2020,1,0.999
14/11/2020,1,0.977
19/11/2020,1,1
23/11/2020,1,1
03/12/2020,2,0.988
04/12/2020,1,0.69
05/12/2020,4,0.9735
11/12/2020,2,0.999
14/12/2020,1,0.992
18/12/2020,4,0.9765
21/12/2020,1,0.999
24/12/2020,2,0.999
28/12/2020,2,0.996
31/12/2020,1,1
05/01/2021,1,0.983
07/01/2021,1,0.992
12/01/2021,2,0.6395
13/01/2021,1,-0.811
14/01/2021,2,1
15/01/2021,2,0.986
16/01/2021,1,0.978
19/01/2021,3,0.5203
20/01/2021,3,0.6643
21/01/2021,4,0.9965
22/01/2021,1,0.992
24/01/2021,1,-0.94
27/01/2021,1,0.999
01/02/2021,4,0.9868
03/02/2021,1,0.982
04/02/2021,1,1
05/02/2021,1,0
07/02/2021,2,1
11/02/2021,1,0
12/02/2021,1,0.998
13/02/2021,1,0.886
14/02/2021,2,1
17/02/2021,2,0.997
18/02/2021,2,0.064
20/02/2021,2,1
22/02/2021,1,0.586
23/02/2021,2,0.5395
25/02/2021,6,0.9202
26/02/2021,7,0.8943
27/02/2021,1,1
28/02/2021,1,0.997
01/03/2021,4,0.8118
02/03/2021,3,0.552
03/03/2021,3,0.891
04/03/2021,3,0.793
05/03/2021,3,0.998
06/03/2021,3,0.9943
07/03/2021,1,0.968
08/03/2021,4,0.4093
09/03/2021,3,0.513
10/03/2021,1,0.226
11/03/2021,1,0.994
12/03/2021,6,0.8247
13/03/2021,3,0.8967
14/03/2021,1,0.934
15/03/2021,9,0.9932
16/03/2021,13,0.8136
17/03/2021,7,0.5679
18/03/2021,12,0.6049
19/03/2021,9,0.4466
20/03/2021,4,-0.0933
21/03/2021,1,0.999
22/03/2021,8,0.7215
23/03/2021,16,0.4722
24/03/2021,10,0.5582
25/03/2021,7,0.2563
26/03/2021,9,0.6438
27/03/2021,4,0.4568
28/03/2021,1,0.351
29/03/2021,10,0.6094
30/03/2021,13,0.3189
31/03/2021,9,0.5084
01/04/2021,14,0.6149
02/04/2021,7,0.3897
03/04/2021,3,-0.2417
04/04/2021,4,0.606
05/04/2021,5,0.419
06/04/2021,5,0.8242
07/04/2021,6,0.3103
08/04/2021,7,0.5593
09/04/2021,18,0.5121
10/04/2021,1,0.625
11/04/2021,1,0.998
12/04/2021,7,0.7277
13/04/2021,11,0.8124
14/04/2021,8,0.3944
15/04/2021,9,0.7546
16/04/2021,15,0.4056
17/04/2021,5,0.4494
18/04/2021,15,0.5917
19/04/2021,17,0.6191
20/04/2021,38,0.5406
21/04/2021,88,0.2054
22/04/2021,17,0.5653
23/04/2021,17,0.6645
24/04/2021,7,0.5099
25/04/2021,5,0.586
26/04/2021,20,0.5827
27/04/2021,5,0.5616
28/04/2021,13,0.4892
29/04/2021,8,0.7028
30/04/2021,12,0.5681
01/05/2021,3,0.2413
02/05/2021,3,-0.031
03/05/2021,3,0.492
04/05/2021,7,0.9406
05/05/2021,8,0.3528
06/05/2021,7,0.4463
07/05/2021,6,0.578
08/05/2021,2,0.968
09/05/2021,3,0.6597
10/05/2021,4,0.6283
11/05/2021,12,0.4579
12/05/2021,6,0.2142
13/05/2021,7,0.933
14/05/2021,19,0.5354
15/05/2021,3,0.727
16/05/2021,5,0.9572
17/05/2021,21,0.4908
18/05/2021,13,0.6152
19/05/2021,15,0.3112
20/05/2021,15,0.4078
21/05/2021,18,0.3636
22/05/2021,5,0.744
23/05/2021,2,0.9165
24/05/2021,6,0.4937
25/05/2021,10,0.4708
26/05/2021,14,0.5457
27/05/2021,16,0.9473
28/05/2021,8,0.5561
29/05/2021,1,0.962
30/05/2021,5,0.8424
31/05/2021,5,0.7832
01/06/2021,1,0.999
02/06/2021,6,0.962
03/06/2021,7,0.652
04/06/2021,9,0.7692
05/06/2021,1,0.273
06/06/2021,4,0.8625
07/06/2021,5,0.8606
08/06/2021,8,-0.0595
09/06/2021,5,-0.0582
10/06/2021,18,0.6304
11/06/2021,8,0.5471
12/06/2021,4,0.8393
14/06/2021,11,0.96
15/06/2021,6,0.7198
16/06/2021,10,0.6869
17/06/2021,7,0.6383
18/06/2021,4,0.6393
20/06/2021,3,0.6633
21/06/2021,23,0.5077
22/06/2021,14,0.8398
23/06/2021,4,0.5965
24/06/2021,12,0.6808
25/06/2021,20,0.4975
26/06/2021,4,0.6063
27/06/2021,4,0.8108
28/06/2021,8,0.8496
29/06/2021,15,0.4882
30/06/2021,8,0.7373
01/07/2021,14,0.7417
02/07/2021,6,0.0672
03/07/2021,2,0.7285
04/07/2021,1,0.677
05/07/2021,2,0.7075
06/07/2021,4,0.9925
07/07/2021,11,0.7246
08/07/2021,7,0.3039
09/07/2021,10,0.7091
10/07/2021,2,0.161
12/07/2021,9,0.619
13/07/2021,16,0.7944
14/07/2021,13,0.6598
15/07/2021,53,0.3906
16/07/2021,14,0.6819
17/07/2021,3,0.916
18/07/2021,5,0.6236
19/07/2021,20,0.55
20/07/2021,42,0.4095
21/07/2021,50,0.3624
22/07/2021,11,0.4147
23/07/2021,12,0.3043
