date,count,normalized
07/07/2015,1,0.998
23/07/2015,1,0.153
31/07/2015,1,0.831
06/08/2015,1,0.999
07/08/2015,1,0.984
28/08/2015,1,0.802
30/08/2015,1,0.997
16/09/2015,1,0.996
29/09/2015,1,0.973
22/10/2015,1,0.153
05/11/2015,1,0.995
10/11/2015,2,0.9975
11/11/2015,1,0.869
16/11/2015,1,0.979
19/11/2015,1,0.995
10/12/2015,1,0.992
23/12/2015,1,0.934
31/12/2015,1,0.929
04/01/2016,1,0.998
05/01/2016,2,0.9905
27/01/2016,1,0.818
17/02/2016,1,0.998
18/02/2016,1,0.955
14/03/2016,1,0.966
15/03/2016,1,0.934
16/03/2016,1,0.982
30/03/2016,1,0.934
31/03/2016,1,0.957
05/04/2016,4,0.992
06/04/2016,1,0.963
28/04/2016,1,0.746
02/05/2016,1,0.951
07/05/2016,1,0.998
12/05/2016,1,0.996
13/05/2016,1,0.918
18/05/2016,1,0.993
31/05/2016,1,0.994
08/06/2016,1,0.999
20/06/2016,1,0.993
21/06/2016,1,0.97
07/07/2016,1,0.992
28/07/2016,1,0.884
11/08/2016,1,0.998
16/08/2016,1,0.995
31/08/2016,1,0.918
13/09/2016,2,0.9835
14/09/2016,1,0.972
28/09/2016,1,0.987
05/10/2016,1,0.993
27/10/2016,1,0.884
10/11/2016,1,0.997
15/11/2016,2,0.001
16/11/2016,1,0.908
04/01/2017,1,0.942
05/01/2017,6,0.9845
18/01/2017,1,0.969
26/01/2017,1,0.66
27/01/2017,1,0.66
05/02/2017,1,0.996
09/02/2017,1,0.994
10/02/2017,1,0.884
08/03/2017,2,0.99
15/03/2017,1,0.982
24/03/2017,1,0.987
03/04/2017,1,0.97
05/04/2017,1,0.802
17/04/2017,1,0.977
08/05/2017,1,0.994
09/05/2017,2,0.9875
10/05/2017,6,0.9755
15/05/2017,1,0.875
29/05/2017,1,0.997
30/05/2017,2,0.992
13/06/2017,1,0.994
19/06/2017,1,0.997
27/06/2017,2,0.9885
05/07/2017,1,0.99
27/07/2017,1,0.66
31/07/2017,2,0.9865
10/08/2017,1,0.997
17/08/2017,1,0.995
