date,count,normalized
16/07/2015,1,0.989
22/07/2015,1,0.318
05/08/2015,1,0.318
13/08/2015,1,0.989
31/08/2015,1,0.898
02/10/2015,1,0.796
19/10/2015,1,0.318
03/11/2015,2,0.4895
03/01/2016,1,0.273
25/01/2016,1,0
10/02/2016,1,0
04/04/2016,1,0
20/04/2016,1,0.318
04/05/2016,1,0
03/07/2016,1,0.422
23/09/2016,1,0.296
02/10/2016,1,0.612
07/10/2016,1,0.318
26/10/2016,1,0.318
01/11/2016,1,0.318
15/11/2016,1,0.911
03/01/2017,1,-0.297
02/02/2017,1,0.318
22/02/2017,1,0.318
06/03/2017,1,0.579
15/03/2017,1,0.991
02/04/2017,1,0.318
13/04/2017,1,0.318
03/05/2017,1,0
03/07/2017,1,0.935
07/07/2017,1,0.923
11/07/2017,1,0.318
02/08/2017,1,0.318
07/08/2017,1,0.949
11/08/2017,1,0.936
02/10/2017,1,0.863
05/10/2017,1,0.997
11/10/2017,1,0.713
19/10/2017,1,0.318
23/10/2017,1,-0.7
25/10/2017,1,-0.915
27/10/2017,1,-0.975
28/10/2017,1,-0.941
31/10/2017,1,-0.949
01/11/2017,1,0.318
03/11/2017,1,0.934
07/11/2017,2,-0.7435
20/11/2017,1,-0.915
21/11/2017,2,-0.864
27/11/2017,1,-0.949
29/11/2017,2,0.0285
03/01/2018,1,0.994
23/01/2018,1,1
05/02/2018,1,0.997
07/02/2018,1,0.318
03/04/2018,1,0.993
16/04/2018,1,0.995
19/04/2018,1,0.318
02/05/2018,1,0.318
02/07/2018,1,0.986
18/07/2018,1,0.318
01/08/2018,1,0.318
08/08/2018,1,0.599
11/08/2018,2,0.8805
14/08/2018,1,0.941
15/08/2018,2,0.983
16/08/2018,1,0.477
20/08/2018,2,0.857
22/08/2018,1,-0.994
23/08/2018,1,-0.992
24/08/2018,1,0.962
25/08/2018,1,0.947
26/08/2018,1,-0.987
27/08/2018,2,0.83
28/08/2018,1,-0.89
29/08/2018,3,0.1367
30/08/2018,2,-0.9355
31/08/2018,2,0.9675
02/09/2018,1,-0.89
04/09/2018,2,-0.314
05/09/2018,2,-0.945
06/09/2018,2,0.946
07/09/2018,3,0.1153
09/09/2018,1,0.392
11/09/2018,1,0.273
12/09/2018,1,-0.978
13/09/2018,2,-0.0395
16/09/2018,1,-0.987
17/09/2018,2,-0.3085
18/09/2018,2,0.0655
20/09/2018,1,-0.987
21/09/2018,2,0.956
23/09/2018,1,-0.89
24/09/2018,1,0.44
26/09/2018,2,-0.119
27/09/2018,1,0.868
28/09/2018,6,0.1013
30/09/2018,1,-0.994
02/10/2018,1,0.993
03/10/2018,1,0.44
05/10/2018,1,-0.978
07/10/2018,1,0.694
08/10/2018,3,-0.508
09/10/2018,1,-0.89
23/10/2018,3,0.566
24/10/2018,1,0.318
30/11/2018,1,0.994
02/01/2019,1,0.983
19/01/2019,1,0.318
30/01/2019,1,0.318
04/02/2019,2,0.939
06/02/2019,1,0.993
19/02/2019,2,0.993
26/02/2019,1,0.999
27/02/2019,1,0.992
15/03/2019,1,0.952
28/03/2019,1,0.96
03/04/2019,1,0.904
04/04/2019,2,0.45
08/04/2019,1,0.96
10/04/2019,1,0.998
11/04/2019,1,0.318
24/04/2019,1,0.318
02/05/2019,1,0.991
13/05/2019,1,0.98
16/05/2019,1,0.959
02/07/2019,1,0.665
11/07/2019,1,0.318
18/07/2019,1,0.557
24/07/2019,1,0.318
02/10/2019,1,0.625
09/10/2019,1,0.318
23/10/2019,1,0.318
03/01/2020,1,0.869
17/01/2020,1,0
28/01/2020,1,0
29/01/2020,1,0.318
13/02/2020,1,0.979
19/03/2020,1,0.978
27/03/2020,2,0.3515
02/04/2020,1,0.608
09/04/2020,2,0.9915
15/04/2020,1,0.318
23/04/2020,2,0.9975
24/04/2020,1,0.998
29/04/2020,1,0.318
30/04/2020,1,0.994
06/05/2020,1,0.991
19/05/2020,4,0.9843
22/05/2020,1,0.989
25/05/2020,1,0.999
02/06/2020,1,0.998
04/06/2020,2,0.872
07/06/2020,1,0.997
09/06/2020,1,0.993
10/06/2020,1,0.926
11/06/2020,1,0.306
15/06/2020,1,0.901
16/06/2020,1,0.99
22/06/2020,1,0.219
27/06/2020,1,1
02/07/2020,3,0.8297
03/07/2020,4,0.9915
07/07/2020,2,0.991
08/07/2020,2,0.997
09/07/2020,1,0.318
10/07/2020,1,0.735
15/07/2020,2,0.987
20/07/2020,4,0.9855
21/07/2020,2,0.975
22/07/2020,4,0.5225
23/07/2020,2,0.971
27/07/2020,2,0.962
28/07/2020,2,-0.79
29/07/2020,3,0.8983
30/07/2020,2,0.976
31/07/2020,2,0.987
05/08/2020,2,0.997
06/08/2020,2,0.35
11/08/2020,1,0.723
14/08/2020,2,0.1735
19/08/2020,2,0.999
20/08/2020,6,0.1483
21/08/2020,4,1
22/08/2020,1,0.989
25/08/2020,8,0.923
27/08/2020,2,0.637
28/08/2020,1,0.999
31/08/2020,3,0.9923
02/09/2020,3,0.9913
03/09/2020,4,0.545
04/09/2020,2,0.705
06/09/2020,2,0.998
08/09/2020,4,0.02
09/09/2020,4,0.7185
11/09/2020,5,0.5196
14/09/2020,2,0.738
17/09/2020,2,0.983
22/09/2020,4,0.3715
23/09/2020,5,0.401
24/09/2020,2,0.987
25/09/2020,4,0.992
29/09/2020,2,0.1485
01/10/2020,12,0.4127
02/10/2020,1,0.66
06/10/2020,1,0.103
08/10/2020,2,0.659
09/10/2020,1,0.999
12/10/2020,2,0.957
13/10/2020,2,0.612
15/10/2020,2,0.751
16/10/2020,1,0.998
18/10/2020,1,0.994
21/10/2020,1,0.318
23/10/2020,1,0.984
28/10/2020,1,1
30/10/2020,1,0.999
02/11/2020,1,0.878
03/11/2020,2,0.202
05/11/2020,2,0.978
06/11/2020,3,0.9947
12/11/2020,2,0.997
13/11/2020,1,1
18/11/2020,1,0.998
19/11/2020,2,0.995
20/11/2020,2,0.992
27/11/2020,1,0.296
29/11/2020,1,0.998
30/11/2020,1,0.999
01/12/2020,2,0.991
03/12/2020,5,0.8646
04/12/2020,4,0.9213
07/12/2020,3,0.4357
08/12/2020,1,0.987
09/12/2020,3,0.5637
11/12/2020,4,0.975
15/12/2020,2,0.775
16/12/2020,4,0.8765
17/12/2020,2,0.9885
22/12/2020,3,0.9927
23/12/2020,5,0.9882
24/12/2020,1,0
26/12/2020,1,0.998
28/12/2020,5,0.2766
29/12/2020,8,0.757
30/12/2020,4,0.9518
31/12/2020,2,0.9995
02/01/2021,1,0.691
03/01/2021,1,0.938
04/01/2021,4,0.9803
05/01/2021,1,0.99
06/01/2021,6,0.8155
07/01/2021,1,0.993
08/01/2021,9,0.6403
09/01/2021,2,0.995
11/01/2021,5,0.7724
12/01/2021,3,0.9973
13/01/2021,2,0.4935
14/01/2021,5,0.699
15/01/2021,4,0.5863
18/01/2021,3,0.9993
19/01/2021,4,0.9965
20/01/2021,2,0.6135
21/01/2021,4,0.5705
22/01/2021,13,0.7861
23/01/2021,1,0.477
24/01/2021,3,0.184
25/01/2021,5,0.7868
26/01/2021,4,0.9258
27/01/2021,2,0.397
28/01/2021,6,0.3742
29/01/2021,6,0.8923
01/02/2021,7,0.7404
02/02/2021,2,0.4305
03/02/2021,2,0.937
04/02/2021,4,0.978
05/02/2021,10,0.8768
07/02/2021,5,0.9914
08/02/2021,4,-0.1128
09/02/2021,12,0.1738
10/02/2021,13,0.8424
11/02/2021,9,0.8641
12/02/2021,13,0.7755
14/02/2021,3,0.9813
15/02/2021,7,0.8027
16/02/2021,8,0.7073
17/02/2021,7,0.8267
18/02/2021,8,0.7115
19/02/2021,8,0.6315
20/02/2021,4,0.871
22/02/2021,8,0.3434
23/02/2021,15,0.3641
24/02/2021,13,0.3852
25/02/2021,11,0.2317
26/02/2021,15,0.2461
27/02/2021,2,0.7005
28/02/2021,1,1
01/03/2021,15,0.573
02/03/2021,7,0.5537
03/03/2021,12,0.1402
04/03/2021,18,0.6209
05/03/2021,34,0.6056
06/03/2021,2,0.998
07/03/2021,2,0.9975
08/03/2021,25,0.7318
09/03/2021,28,0.6359
10/03/2021,19,0.5659
11/03/2021,8,0.7324
12/03/2021,16,0.6681
13/03/2021,4,0.8088
14/03/2021,4,0.5945
15/03/2021,19,0.5405
16/03/2021,25,0.5038
17/03/2021,24,0.3918
18/03/2021,26,0.4205
19/03/2021,44,0.4016
20/03/2021,14,0.6702
21/03/2021,7,0.7714
22/03/2021,61,0.486
23/03/2021,30,0.5083
24/03/2021,51,0.5198
25/03/2021,35,0.5234
26/03/2021,39,0.3536
27/03/2021,10,0.4773
28/03/2021,1,0.807
29/03/2021,21,0.1852
30/03/2021,35,0.1998
31/03/2021,37,0.448
01/04/2021,44,0.5282
02/04/2021,20,0.4713
03/04/2021,7,0.411
04/04/2021,4,0.6265
05/04/2021,59,0.5167
06/04/2021,23,0.5646
07/04/2021,21,0.6478
08/04/2021,35,0.4595
09/04/2021,23,0.7173
10/04/2021,9,0.6806
11/04/2021,4,0.9675
12/04/2021,37,0.6668
13/04/2021,20,0.4623
14/04/2021,23,0.5059
15/04/2021,27,0.4241
16/04/2021,23,0.4125
17/04/2021,8,0.7529
18/04/2021,17,0.4112
19/04/2021,41,0.011
20/04/2021,42,0.3303
21/04/2021,26,-0.1302
22/04/2021,28,0.2943
23/04/2021,28,0.5515
24/04/2021,5,0.7852
25/04/2021,14,0.2262
26/04/2021,80,0.47
27/04/2021,68,0.483
28/04/2021,30,0.3583
29/04/2021,29,0.3716
30/04/2021,25,0.5714
01/05/2021,11,0.6876
02/05/2021,13,0.2838
