Date,Close,Volume,Open,High,Low,12 EMA,26 EMA,MACD,9 EMA MACD,Histogram
12/05/2019,66.395,74645360,65.9475,66.4725,65.6825,,,,,
12/06/2019,67.6775,106189960,66.87,67.75,66.825,,,,,
12/09/2019,66.73,128730600,67.5,67.7,66.2275,,,,,
12/10/2019,67.12,90529520,67.15,67.5175,66.465,,,,,
12/11/2019,67.6925,78893560,67.2025,67.775,67.125,,,,,
12/12/2019,67.865,137748160,66.945,68.14,66.8303,,,,,
12/13/2019,68.7875,133731240,67.865,68.825,67.7325,,,,,
12/16/2019,69.965,128324440,69.25,70.1975,69.245,,,,,
12/17/2019,70.1025,114303200,69.8925,70.4425,69.7,,,,,
12/18/2019,69.935,116098760,69.95,70.475,69.78,,,,,
12/19/2019,70.005,98507800,69.875,70.295,69.7375,,,,,
12/20/2019,69.86,276130960,70.5575,70.6625,69.64,68.51125,,,,
12/23/2019,71,98711520,70.1325,71.0625,70.0934,68.89413462,,,,
12/24/2019,71.0675,48478840,71.1725,71.2225,70.7299,69.22849852,,,,
12/26/2019,72.4775,93336000,71.205,72.495,71.175,69.7283449,,,,
12/27/2019,72.45,146371760,72.78,73.4925,72.03,70.14706107,,,,
12/30/2019,72.88,144238440,72.365,73.1725,71.305,70.56751321,,,,
12/31/2019,73.4125,100990520,72.4825,73.42,72.38,71.00520349,,,,
01/02/2020,75.0875,135647440,74.06,75.15,73.7975,71.63324911,,,,
01/03/2020,74.3575,146535520,74.2875,75.145,74.125,72.05236463,,,,
01/06/2020,74.95,118578560,73.4475,74.99,73.1875,72.49815469,,,,
01/07/2020,74.5975,111510640,74.96,75.225,74.37,72.82113089,,,,
01/08/2020,75.7975,132363800,74.29,76.11,74.289,73.27903383,,,,
01/09/2020,77.4075,170486160,76.8088,77.6075,76.55,73.91418247,,,,
01/10/2020,77.5825,140869080,77.65,78.1675,77.0625,74.47853901,,,,
01/13/2020,79.24,122086880,77.91,79.2675,77.7875,75.21107147,71.70932692,3.501744549,,
01/14/2020,78.17,162613840,79.175,79.3925,78.0425,75.66629125,72.1878953,3.478395947,,
01/15/2020,77.835,121923520,77.9625,78.875,77.3875,75.99993875,72.60619935,3.393739395,,
01/16/2020,78.81,108829000,78.3975,78.925,78.0225,76.43225586,73.06574014,3.366515723,,
01/17/2020,79.6825,137816480,79.0675,79.685,78.75,76.93229342,73.5558705,3.376422922,,
01/21/2020,79.1425,110843240,79.2975,79.755,79,77.2723252,73.96969491,3.302630296,,
01/22/2020,79.425,101832480,79.645,79.9975,79.3275,77.60350594,74.37379158,3.22971436,,
01/23/2020,79.8075,104471960,79.48,79.89,78.9125,77.94258195,74.7762885,3.16629345,,
01/24/2020,79.5775,146537520,80.0625,80.8325,79.3797,78.1941078,75.1319338,3.062174007,3.319736739,-0.257562732
01/27/2020,77.2375,161940040,77.515,77.9425,76.22,78.04693737,75.28790166,2.759035709,3.207596533,-0.448560824
01/28/2020,79.4225,162233960,78.15,79.6,78.0475,78.25856239,75.59416821,2.664394185,3.098956063,-0.434561878
