title,url,sentiment
20/01/2025,How to Use Apple’s Genmoji to Create New Kinds of Emojis,0.1364
20/01/2025,"How to Use Parental Controls in Your Google, Apple, and Microsoft Accounts",0
21/01/2025,Apple AirPods Pro 2 Just Got Cheaper on Amazon and It’s an Easy Win,0.6167
21/01/2025,This KeySmart SmartCard Works With Apple Find My and Is Cheaper Than Anywhere Else on StackSocial,0
22/01/2025,Samsung borrows from the Apple Wallet playbook with layaway and tap-to-send for Wallet,0
22/01/2025,"Amazon Offers Apple Watch SE (2nd Gen) for Under $200, Get It Before the Lowest Price Goes Up",0.05
22/01/2025,"Thanks to This Smart Lock for $100 Off, You Can Unlock Your Door With Your iPhone",0.2071
22/01/2025,Apple Previews New Store in Miami With a Unique Feature on the Roof,0.2557
23/01/2025,"Forget Apple, HP Professional Laptop With Microsoft Office Is Now $700, Originally $1,900 (54% Off)",0.2375
24/01/2025,Apple makes a change to its AI team and plans Siri upgrades,0
24/01/2025,No One Has Any Idea When Apple’s Revamped CarPlay Will Come to New Cars,0.1364
24/01/2025,"Severance Continues Its Return With an Awesome, Outie-Focused Episode",1
24/01/2025,The M4 Apple iPad Pro Is Just 2 Bucks Away From Its All-Time Lowest Price on Amazon,0
24/01/2025,Apple Brings in New Exec to 'Fix' Siri and Apple Intelligence,0.1364
27/01/2025,Samsung’s New Galaxy Sparks Apple Savings? 2024 MacBook Air Is Now at Its Lowest Price for Apple Fans,0.1364
27/01/2025,"Apple’s Next Big iOS Update Will Turn on Apple Intelligence, Whether You Want It or Not",0
27/01/2025,Apple’s Sports app now tells you where you can watch nationally broadcast games,0
27/01/2025,Apple Releases tvOS 18.3,0
27/01/2025,Apple Releases visionOS 2.3,0
27/01/2025,The Leaked iPhone SE 4 Looks Like It’s Keeping Things Simple,0
27/01/2025,Apple Releases watchOS 11.3 With New Black Unity Watch Face,-0.0152
27/01/2025,Apple Sports App for iPhone Updated With TV Broadcast Info and More,0.5
28/01/2025,"The M2 Apple iPad Air Is Suddenly Down to Its All-Time Low Price, Courtesy of Samsung’s New Galaxy Launch",-0.0064
28/01/2025,Samsung’s New Android XR Headset Shows Everyone Underestimated the Apple Vision Pro,0.1364
29/01/2025,Vizio 50-Inch Smart TV Drops to Its Lowest Price Just in Time for Super Bowl Prep,0.2738
29/01/2025,"Apple AirTags Are Back Down to an All-Time Low Price, Selling-Fast on Amazon Now",-0.0519
29/01/2025,Apple Pay Gains Support for Citi Monthly Payment Plans,0
30/01/2025,Apple Now Has More Than 2.35 Billion Active Devices Worldwide,0.1833
31/01/2025,The Severance Self-Help Book Is Now Available for Real-Life Inspiration,0.4
31/01/2025,Apple to Compensate Early Apple Watch Owners in Lawsuit Settlement,0.1
31/01/2025,Nvidia GeForce Now on Vision Pro Highlights the Bigger Problem With Apple and Gaming,0
03/02/2025,Apple’s Calendar App Update Could Finally Give Us the Best Way to Send an E-vite,0.5
03/02/2025,"Apple AirPods Pro 2 Drop Back Under $170 on Amazon, Lowest Price in Ages",0
03/02/2025,Apple Music Offering Six-Month Trial for Just $2.99 Through February,0
03/02/2025,Apple Music 'Replay 2025' Playlist Now Available,0.4
04/02/2025,16 Burning Questions We Already Have About Severance Season 2,0
04/02/2025,Apple Launches New 'Invites' App,0.1364
05/02/2025,The Apple AirPods Pro 3 Might Be Getting Some Interesting Upgrades,0.5
05/02/2025,An Apple TV Refresh is Coming in 2025 - Here's What You Should Know,0
07/02/2025,Apple’s Initial Designs for a Vision Pro Controller Are Making Me Uncomfortable,-0.25
07/02/2025,This Pixar-Inspired Robot Lamp Is the First Apple Intelligence Device I Really Want,0.225
07/02/2025,"Tile Trackers (4-Pack) Are Now Cheaper Than Apple AirTags, Only $14 Each",0
10/02/2025,Apple Could Reveal the $500 iPhone SE This Week,0
10/02/2025,Wearing an Apple Watch on the Ankle? New Report Explains the Trend,0.1364
11/02/2025,I’m Obsessed With J.D. Vance’s Apple Watch,-0.5
11/02/2025,The CFPB Work Freeze Is Putting Big Tech Regulations ‘On Ice’,0
11/02/2025,Apple Reportedly 'Passed Over' DeepSeek as Apple Intelligence Partner,0
11/02/2025,Apple Adopting 'Gulf of America' Naming for Apple Maps,0
11/02/2025,Here's How All Online Maps Are Handling the ‘Gulf of Mexico’ Name Change,0
11/02/2025,Beats Powerbeats Pro 2 Review: Beating the Best,1
11/02/2025,Apple rechazó integrar DeepSeek en Apple Intelligence,0
12/02/2025,Apple Releasing Apple TV+ App for Android Smartphones Soon,0
12/02/2025,The Apple TV app is finally available on Android with Apple TV Plus,0.4
12/02/2025,Apple Resumes Advertising on X,0
13/02/2025,Apple Says It Will Showcase a New ‘Family Member’ That’s Likely the iPhone SE 4,0.0682
